Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Matches,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
381,Carles Pérez,es ESP,FWD,Roma,21,1998,1.3,0,0,0,5,1,0,20.0,3.95,0.79,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2,Matches,1,0.2,+0.8,2,23,32,71.9,1,1,100.0,18,26,69.2,4,5,80.0,30,2,0,0,1,0,1,0,0
382,Mattia Perin,it ITA,GK,Genoa,26,1992,8.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,1,163,265,61.5,0,0,0,77,77,100.0,86,188,45.7,37,171,24,0,0,0,11,1,0
383,Diego Perotti,ar ARG,FWD,Roma,31,1988,8.0,3,3,3,9,2,0,22.2,1.13,0.25,0.00,0.00,2.9,0.7,0.07,+0.1,-0.7,Matches,1,1.8,-0.8,19,242,308,78.6,5,17,29.4,202,226,89.4,35,65,53.8,45,253,1,2,6,2,16,5,1
384,Matteo Pessina,it ITA,MID,Hellas Verona,22,1997,18.1,3,0,0,18,8,0,44.4,1.00,0.44,0.17,0.38,2.8,2.8,0.16,+0.2,+0.2,Matches,0,1.0,-1.0,13,630,827,76.2,14,49,28.6,529,640,82.7,87,138,63.0,632,114,29,0,1,4,82,10,1
385,Andrea Petagna,it ITA,FWD,SPAL,24,1995,23.2,10,4,6,72,20,2,27.8,3.10,0.86,0.08,0.30,10.3,5.7,0.08,-0.3,+0.3,Matches,1,2.3,-1.3,19,420,573,73.3,8,31,25.8,320,402,79.6,92,140,65.7,360,133,2,1,3,7,27,13,0
386,Jacopo Petriccione,it ITA,MID,Lecce,24,1995,16.2,0,0,0,13,4,0,30.8,0.80,0.25,0.00,0.00,0.4,0.4,0.03,-0.4,-0.4,Matches,4,1.5,+2.5,30,692,802,86.3,12,15,80.0,469,524,89.5,211,263,80.2,70,699,42,0,35,5,50,18,4
387,Germán Pezzella,ar ARG,DEF,Fiorentina,28,1991,21.0,2,0,0,20,3,0,15.0,0.95,0.14,0.10,0.67,1.9,1.9,0.09,+0.1,+0.1,Matches,0,0.3,-0.3,5,656,767,85.5,10,19,52.6,420,456,92.1,226,292,77.4,126,582,28,0,0,3,26,2,0
388,Giuseppe Pezzella,it ITA,DEF,Parma,21,1997,6.4,0,0,0,2,1,0,50.0,0.31,0.16,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches,0,0.1,-0.1,1,225,298,75.5,0,9,0.0,172,200,86.0,53,89,59.6,207,28,8,0,0,54,27,2,0
389,Giuseppe Pezzella,it ITA,DEF,Udinese,21,1997,0.9,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,1,33,49,67.3,0,3,0.0,29,36,80.6,4,10,40.0,37,3,1,0,0,7,2,1,1
390,Krzysztof Piątek,pl POL,FWD,Milan,24,1995,13.2,4,3,3,45,12,0,26.7,3.42,0.91,0.02,0.08,6.2,3.9,0.09,-2.2,-2.9,Matches,0,0.9,-0.9,13,181,239,75.7,8,17,47.1,152,193,78.8,21,29,72.4,8,184,0,0,0,1,15,3,0
