Player,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
Florian Neuhaus,3,0,0,25,10,1,40.0,1.76,0.70,0.12,0.30,3.8,3.8,0.15,-0.8,-0.8
Moussa Niakhate,0,0,0,9,4,0,44.4,0.43,0.19,0.00,0.00,0.8,0.8,0.09,-0.8,-0.8
Florian Niederlechner,11,1,1,56,30,1,53.6,2.65,1.42,0.18,0.33,9.3,8.5,0.15,+1.7,+1.5
Christopher Nkunku,4,0,0,31,14,2,45.2,2.33,1.05,0.13,0.29,4.6,4.6,0.15,-0.6,-0.6
Lukas Nmecha,0,0,0,3,0,0,0.0,2.13,0.00,0.00,0,0.3,0.3,0.12,-0.3,-0.3
Håvard Nordtveit,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Alexander Nübel,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Kasim Nuhu,1,0,0,6,3,0,50.0,0.55,0.27,0.17,0.33,0.9,0.9,0.15,+0.1,+0.1
Bastian Oczipka,0,0,0,7,3,0,42.9,0.32,0.14,0.00,0.00,0.2,0.2,0.02,-0.2,-0.2
Cauly Oliveira Souza,2,0,0,14,8,1,57.1,1.76,1.00,0.14,0.25,1.6,1.6,0.12,+0.4,+0.4
Dani Olmo,0,0,0,3,1,0,33.3,1.70,0.57,0.00,0.00,0.2,0.2,0.07,-0.2,-0.2
Karim Onisiwo,3,0,0,25,12,0,48.0,2.36,1.13,0.12,0.25,2.6,2.6,0.10,+0.4,+0.4
Willi Orban,1,0,0,7,3,1,42.9,0.78,0.33,0.14,0.33,0.7,0.7,0.09,+0.3,+0.3
Yuya Osako,4,0,0,30,12,0,40.0,2.42,0.97,0.13,0.33,4.0,4.0,0.13,0.0,0.0
Paulo Otávio,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Reece Oxford,0,0,0,2,0,0,0.0,0.57,0.00,0.00,0,0.1,0.1,0.04,-0.1,-0.1
Levin Öztunalı,3,0,0,29,9,0,31.0,2.02,0.63,0.10,0.33,1.1,1.1,0.04,+1.9,+1.9
Gonçalo Paciência,7,1,1,39,13,1,33.3,3.03,1.01,0.15,0.46,5.8,5.1,0.13,+1.2,+0.9
Michael Parensen,1,0,0,3,2,0,66.7,0.54,0.36,0.33,0.50,0.7,0.7,0.24,+0.3,+0.3
Paulinho,1,0,0,3,2,0,66.7,3.42,2.28,0.33,0.50,0.6,0.6,0.20,+0.4,+0.4
Benjamin Pavard,2,0,0,7,3,0,42.9,0.33,0.14,0.29,0.67,0.4,0.4,0.06,+1.6,+1.6
Jiří Pavlenka,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Mads Pedersen,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Peter Pekarík,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Philipp Pentke,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Ivan Perišić,4,0,0,35,9,0,25.7,3.32,0.85,0.11,0.44,3.3,3.3,0.09,+0.7,+0.7
Pavao Pervan,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Nils Petersen,8,1,1,41,14,0,34.1,2.14,0.73,0.17,0.50,6.2,5.4,0.13,+1.8,+1.6
Krzysztof Piątek,0,0,0,9,2,0,22.2,3.91,0.87,0.00,0.00,0.9,0.9,0.10,-0.9,-0.9
Ronaël Pierre-Gabriel,0,0,0,1,0,0,0.0,0.24,0.00,0.00,0,0.0,0.0,0.02,0.0,0.0
Łukasz Piszczek,1,0,0,6,2,0,33.3,0.49,0.16,0.17,0.50,0.4,0.4,0.06,+0.6,+0.6
Claudio Pizarro,0,0,0,4,0,0,0.0,1.80,0.00,0.00,0,0.4,0.4,0.10,-0.4,-0.4
Marvin Plattenhardt,0,0,0,3,0,2,0.0,0.33,0.00,0.00,0,0.3,0.3,0.10,-0.3,-0.3
Alassane Pléa,8,0,0,50,23,2,46.0,3.20,1.47,0.16,0.35,7.6,7.6,0.15,+0.4,+0.4
Thomas Pledl,0,0,0,1,0,0,0.0,1.30,0.00,0.00,0,0.1,0.1,0.05,-0.1,-0.1
Joel Pohjanpalo,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Sebastian Polter,2,2,2,5,0,0,0.0,1.66,0.00,0.00,0,1.9,0.4,0.09,+0.1,-0.4
Marin Pongračić,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Stefan Posch,0,0,0,14,4,0,28.6,0.84,0.24,0.00,0.00,1.4,1.4,0.10,-1.4,-1.4
Yussuf Poulsen,3,0,0,18,7,0,38.9,1.76,0.68,0.17,0.43,3.4,3.4,0.19,-0.4,-0.4
Kai Pröger,2,0,0,39,12,2,30.8,2.37,0.73,0.05,0.17,2.2,2.2,0.06,-0.2,-0.2
Grischa Prömel,0,0,0,2,0,0,0.0,0.74,0.00,0.00,0,0.1,0.1,0.06,-0.1,-0.1
Robin Quaison,11,1,1,53,23,1,43.4,2.78,1.20,0.19,0.43,9.3,8.5,0.16,+1.7,+1.5
Raffael,0,0,0,6,2,1,33.3,11.25,3.75,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3
Benito Raman,4,0,0,25,12,0,48.0,2.05,0.98,0.16,0.33,4.1,4.1,0.16,-0.1,-0.1
Milot Rashica,7,2,2,53,19,3,35.8,3.06,1.10,0.09,0.26,4.9,3.5,0.07,+2.1,+1.5
Ante Rebić,0,0,0,2,1,1,50.0,2.00,1.00,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
Daishawn Redan,0,0,0,1,0,0,0.0,4.50,0.00,0.00,0,0.2,0.2,0.25,-0.2,-0.2
Fabian Reese,0,0,0,3,1,0,33.3,3.14,1.05,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
Ken Reichel,0,0,0,1,0,0,0.0,0.69,0.00,0.00,0,0.0,0.0,0.03,0.0,0.0
Karim Rekik,1,0,0,4,2,0,50.0,0.33,0.17,0.25,0.50,0.5,0.5,0.14,+0.5,+0.5
Panagiotis Retsos,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Marco Reus,11,1,1,45,22,3,48.9,2.70,1.32,0.22,0.45,9.3,8.6,0.19,+1.7,+1.4
Elvis Rexhbeçaj,0,0,0,1,1,0,100.0,9.00,9.00,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
Giovanni Reyna,0,0,0,3,1,0,33.3,2.93,0.98,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
Marco Richter,4,0,0,46,13,4,28.3,2.99,0.85,0.09,0.31,4.0,4.0,0.09,0.0,0.0
Marcel Risse,0,0,0,1,0,1,0.0,0.71,0.00,0.00,0,0.1,0.1,0.12,-0.1,-0.1
Marlon Ritter,0,0,0,5,2,1,40.0,8.18,3.27,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2
