Player,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
Wu Lei,3,0,0,25,8,0,32.0,2.37,0.76,0.12,0.38,3.1,3.1,0.12,-0.1,-0.1
Iñigo Lekue,0,0,0,2,0,0,0.0,0.58,0.00,0.00,0,0.1,0.1,0.05,-0.1,-0.1
Thomas Lemar,0,0,0,7,2,1,28.6,0.78,0.22,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4
Clément Lenglet,2,0,0,8,3,0,37.5,0.48,0.18,0.25,0.67,0.8,0.8,0.10,+1.2,+1.2
Pedro León,1,0,0,23,9,3,39.1,1.57,0.61,0.04,0.11,1.3,1.3,0.06,-0.3,-0.3
Sergio León,1,0,0,16,3,0,18.8,3.35,0.63,0.06,0.33,1.8,1.8,0.11,-0.8,-0.8
Lillo,0,0,0,1,0,0,0.0,0.47,0.00,0.00,0,0.0,0.0,0.03,0.0,0.0
Diego Llorente,0,0,0,5,1,0,20.0,0.29,0.06,0.00,0.00,0.6,0.6,0.12,-0.6,-0.6
Marcos Llorente,1,0,0,3,1,0,33.3,0.43,0.14,0.33,1.00,0.7,0.7,0.23,+0.3,+0.3
Stanislav Lobotka,0,0,0,7,2,0,28.6,0.45,0.13,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2
Renan Lodi,1,0,0,11,2,0,18.2,0.66,0.12,0.09,0.50,0.6,0.6,0.06,+0.4,+0.4
Rony Lopes,0,0,0,1,1,0,100.0,4.29,4.29,0.00,0.00,0.0,0.0,0.02,0.0,0.0
Adrián López,0,0,0,11,4,0,36.4,1.14,0.42,0.00,0.00,1.0,1.0,0.09,-1.0,-1.0
David López,2,0,0,8,5,0,62.5,0.52,0.33,0.25,0.40,1.0,1.0,0.12,+1.0,+1.0
Diego López,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Javi López,0,0,0,3,0,0,0.0,0.31,0.00,0.00,0,0.1,0.1,0.03,-0.1,-0.1
Lluis López,0,0,0,2,0,0,0.0,0.60,0.00,0.00,0,0.1,0.1,0.06,-0.1,-0.1
Unai López,0,0,0,17,3,2,17.6,1.39,0.25,0.00,0.00,0.4,0.4,0.03,-0.4,-0.4
Iker Losada,1,0,0,1,1,0,100.0,8.18,8.18,1.00,1.00,0.0,0.0,0.03,+1.0,+1.0
Pol Lozano,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
José Luis Gayà,0,0,0,5,1,0,20.0,0.30,0.06,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2
José Luis Morales,1,0,0,27,11,0,40.7,1.43,0.58,0.04,0.09,3.2,3.2,0.12,-2.2,-2.2
Darwin Machís,3,1,1,44,16,1,36.4,3.08,1.12,0.05,0.13,3.1,2.3,0.05,-0.1,-0.3
Lisandro Magallán,1,0,0,4,1,0,25.0,0.51,0.13,0.25,1.00,0.2,0.2,0.05,+0.8,+0.8
