Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
20,Antoñito,es ESP,DEF,Valladolid,31,1987,5.8,0,0,0,1,0,0,0.0,0.17,0.00,0.00,0,0.1,0.1,0.09,-0.1,-0.1,0,0.8,-0.8,5,153,217,70.5,2,9,22.2,124,148,83.8,27,60,45.0,14,156,3,1,0,38,15,3,0
21,Vitorino Antunes,pt POR,MID,Getafe,32,1987,0.1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,1,0.0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0
22,Anuar,ma MAR,MID,Valladolid,24,1995,2.0,0,0,0,1,0,0,0.0,0.50,0.00,0.00,0,0.0,0.0,0.03,0.0,0.0,0,0.0,0.0,0,86,101,85.1,2,3,66.7,67,77,87.0,17,21,81.0,7,82,1,0,1,0,6,1,0
23,Mauro Arambarri,uy URU,MID,Getafe,23,1995,22.4,1,0,0,26,4,3,15.4,1.16,0.18,0.04,0.25,1.1,1.1,0.04,-0.1,-0.1,1,1.0,0.0,3,414,611,67.8,17,36,47.2,273,381,71.7,124,194,63.9,71,429,16,1,2,1,63,10,0
24,Néstor Araujo,mx MEX,DEF,Celta Vigo,27,1991,22.2,1,0,0,9,3,0,33.3,0.41,0.14,0.11,0.33,0.6,0.6,0.07,+0.4,+0.4,1,0.0,+1.0,0,918,1051,87.3,6,16,37.5,600,655,91.6,312,380,82.1,197,751,48,0,0,2,29,0,0
25,Ronald Araújo,uy URU,DEF,Barcelona,20,1999,0.1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1,1,100.0,0,0,0,0,0,0,1,1,100.0,0,1,0,0,0,0,0,0,0
26,Anaitz Arbilla,es ESP,DEF,Eibar,32,1987,16.2,1,0,0,11,1,3,9.1,0.68,0.06,0.09,1.00,0.6,0.6,0.06,+0.4,+0.4,0,0.0,0.0,1,597,775,77.0,4,21,19.0,323,371,87.1,270,383,70.5,208,442,29,0,0,42,73,4,1
27,Alphonse Areola,fr FRA,GK,Real Madrid,26,1993,3.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,80,96,83.3,1,1,100.0,46,46,100.0,33,49,67.3,8,70,8,0,0,0,0,0,0
28,Santiago Arias,co COL,DEF,Atlético Madrid,27,1992,6.1,0,0,0,3,1,0,33.3,0.49,0.16,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1,1,0.5,+0.5,7,232,298,77.9,5,12,41.7,201,228,88.2,26,58,44.8,16,218,0,0,0,45,8,4,1
29,José Arnaiz,es ESP,MID,Leganés,24,1995,3.6,0,0,0,11,5,0,45.5,3.02,1.37,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6,0,0.6,-0.6,7,73,97,75.3,4,8,50.0,56,68,82.4,13,21,61.9,16,77,1,1,3,1,2,4,3
