Rk,Player,Position,Squad,90s,Assists,xA,Assists-xA,KeyPasses,Total Completed Passes,Total Attempted Passes,Total Pass Completion %,Short Completed Passes,Short Attempted Passes,Short Pass Completion %,Medium Completed Passes,Medium Attempted Passes,Medium Pass Completion %,Long Completed Passes,Long Attempted Passes,Long Pass Completion %,Through Ball Passes,Corner Kicks,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
409,Çağlar Söyüncü,DEF,Leicester City,25.0,1,0.2,+0.8,2,1482,1614,91.8,9,23,39.1,1080,1132,95.4,393,459,85.6,0,0,74,3,0
410,Dennis Srbeny,MID,Norwich City,0.4,0,0.0,0.0,0,17,23,73.9,1,2,50.0,16,20,80.0,0,1,0.0,0,0,3,0,0
411,Jack Stacey,DEF,Bournemouth,8.9,1,0.5,+0.5,4,291,403,72.2,7,31,22.6,250,296,84.5,34,76,44.7,0,1,15,2,0
412,Junior Stanislas,MID,Bournemouth,1.3,0,0.1,-0.1,2,54,65,83.1,0,3,0.0,44,49,89.8,10,13,76.9,0,1,2,3,0
413,Jed Steer,GK,Aston Villa,0.1,0,0.0,0.0,0,1,2,50.0,0,0,0,0,0,0,1,2,50.0,0,0,0,0,0
414,Dale Stephens,MID,Brighton,21.6,1,0.7,+0.3,14,1205,1385,87.0,13,24,54.2,857,947,90.5,335,414,80.9,3,0,116,15,1
415,Jack Stephens,DEF,Southampton,17.3,3,0.8,+2.2,4,528,715,73.8,5,13,38.5,331,389,85.1,192,313,61.3,2,0,51,3,0
416,Raheem Sterling,FWD,Manchester City,21.5,1,5.8,-4.8,35,723,914,79.1,12,64,18.8,659,767,85.9,52,83,62.7,3,0,22,38,6
417,Enda Stevens,DEF,Sheffield Utd,26.0,2,3.5,-1.5,28,998,1342,74.4,14,67,20.9,803,940,85.4,181,335,54.0,1,0,82,38,8
418,Marco Stiepermann,MID,Norwich City,10.3,0,0.5,-0.5,9,240,325,73.8,13,31,41.9,200,246,81.3,27,48,56.3,3,0,26,7,0
419,John Stones,DEF,Manchester City,9.8,0,0.1,-0.1,2,692,729,94.9,0,3,0.0,467,490,95.3,225,236,95.3,0,0,69,1,0
420,Isaac Success,FWD,Watford,0.7,0,0.1,-0.1,1,14,21,66.7,3,4,75.0,10,16,62.5,1,1,100.0,0,0,0,2,0
421,Ki Sung-yueng,MID,Newcastle Utd,1.5,0,0.1,-0.1,2,59,67,88.1,2,2,100.0,36,41,87.8,21,24,87.5,0,3,4,0,0
422,Andrew Surman,MID,Bournemouth,1.6,0,0.0,0.0,0,56,71,78.9,2,2,100.0,43,52,82.7,11,17,64.7,0,0,3,0,0
423,Sam Surridge,FWD,Bournemouth,0.2,0,0.0,0.0,0,2,3,66.7,0,0,0,2,3,66.7,0,0,0,0,0,1,0,0
424,Japhet Tanganga,DEF,Tottenham,3.0,0,0.0,0.0,0,83,106,78.3,1,6,16.7,66,76,86.8,16,24,66.7,0,0,4,0,0
425,Matt Targett,DEF,Aston Villa,16.8,2,2.5,-0.5,22,628,844,74.4,13,39,33.3,502,587,85.5,113,218,51.8,0,9,46,23,11
