Rk,Player,Position,Squad,90s,Assists,xA,Assists-xA,KeyPasses,Total Completed Passes,Total Attempted Passes,Total Pass Completion %,Short Completed Passes,Short Attempted Passes,Short Pass Completion %,Medium Completed Passes,Medium Attempted Passes,Medium Pass Completion %,Long Completed Passes,Long Attempted Passes,Long Pass Completion %,Through Ball Passes,Corner Kicks,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
382,Alejandro Pozo Pozo,FWD,Sevilla,0.4,0,0.0,0.0,0,10,14,71.4,0,1,0.0,9,12,75.0,1,1,100.0,0,0,3,0,0
383,Alejandro Pozo Pozo,DEF,Mallorca,2.8,0,0.2,-0.2,3,98,135,72.6,3,7,42.9,85,103,82.5,10,25,40.0,0,0,1,2,1
384,Abdón Prats,FWD,Mallorca,1.7,0,0.0,0.0,0,21,34,61.8,1,3,33.3,18,26,69.2,2,5,40.0,0,0,3,0,0
385,Andrés Prieto,GK,Espanyol,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,Antonio Puertas,FWD,Granada,19.2,0,0.5,-0.5,6,355,503,70.6,12,37,32.4,306,387,79.1,37,79,46.8,0,1,12,5,2
387,Riqui Puig,MID,Barcelona,0.2,0,0.2,-0.2,1,40,43,93.0,2,3,66.7,28,28,100.0,10,12,83.3,0,1,3,2,0
388,Quini,DEF,Granada,8.0,0,0.2,-0.2,6,230,298,77.2,7,21,33.3,185,210,88.1,38,67,56.7,0,0,18,3,2
389,Xavi Quintillà,DEF,Villarreal,15.3,2,1.4,+0.6,19,741,913,81.2,21,39,53.8,605,668,90.6,115,206,55.8,0,3,36,17,9
390,Quique,FWD,Eibar,3.8,1,0.2,+0.8,4,63,85,74.1,3,6,50.0,53,68,77.9,7,11,63.6,1,0,3,3,1
391,Nemanja Radoja,MID,Levante,15.2,0,0.7,-0.7,5,551,626,88.0,4,15,26.7,423,465,91.0,124,146,84.9,0,0,33,4,0
392,Rafinha,MID,Celta Vigo,13.5,1,1.1,-0.1,14,679,785,86.5,23,43,53.5,529,582,90.9,127,160,79.4,3,4,60,19,1
393,Rafinha,FWD,Barcelona,2.1,0,0.4,-0.4,6,142,164,86.6,2,5,40.0,117,127,92.1,23,32,71.9,0,6,7,5,2
394,Baba Rahman,DEF,Mallorca,1.2,0,0.0,0.0,0,42,60,70.0,0,1,0.0,32,40,80.0,10,19,52.6,0,0,2,1,0
395,Antonio Raillo,DEF,Mallorca,19.2,0,0.1,-0.1,2,598,716,83.5,7,12,58.3,378,421,89.8,213,283,75.3,0,0,28,1,0
396,Ivan Rakitić,MID,Barcelona,8.8,2,0.4,+1.6,6,660,739,89.3,22,30,73.3,517,567,91.2,121,142,85.2,5,9,58,10,0
397,Sandro Ramírez,FWD,Valladolid,9.8,1,1.3,-0.3,8,174,239,72.8,8,15,53.3,134,171,78.4,32,53,60.4,0,8,10,4,1
398,Iván Ramis,DEF,Eibar,5.1,0,0.0,0.0,0,166,198,83.8,1,1,100.0,86,94,91.5,79,103,76.7,0,0,8,0,0
399,Adrián Ramos,FWD,Granada,2.5,0,0.1,-0.1,1,49,75,65.3,3,7,42.9,41,59,69.5,5,9,55.6,0,0,10,2,0
400,Sergio Ramos,DEF,Real Madrid,21.7,0,0.1,-0.1,2,1248,1368,91.2,14,28,50.0,795,849,93.6,439,491,89.4,2,0,126,6,1
401,Raúl,FWD,Betis,0.1,0,0.0,0.0,0,3,6,50.0,0,0,0,3,6,50.0,0,0,0,0,0,0,0,0
402,Recio,MID,Leganés,13.4,0,0.3,-0.3,9,561,646,86.8,15,29,51.7,447,482,92.7,99,135,73.3,0,0,50,3,1
403,Sergio Reguilón,DEF,Sevilla,18.8,3,2.9,+0.1,32,970,1243,78.0,14,49,28.6,803,929,86.4,153,265,57.7,1,1,61,29,17
404,Manolo Reina,GK,Mallorca,23.0,0,0.0,0.0,0,492,766,64.2,3,4,75.0,240,240,100.0,249,522,47.7,0,0,8,0,0
405,Álex Remiro,GK,Real Sociedad,16.0,0,0.0,0.0,0,466,607,76.8,1,1,100.0,242,242,100.0,223,364,61.3,0,0,1,0,0
406,Luis Rioja,MID,Alavés,12.5,0,1.9,-1.9,14,196,290,67.6,4,23,17.4,173,208,83.2,19,59,32.2,0,4,10,9,4
407,Rodrigo Riquelme,MID,Atlético Madrid,0.1,0,0.0,0.0,0,1,3,33.3,0,0,0,1,2,50.0,0,1,0.0,0,0,1,0,0
408,Cristian Rivera,MID,Leganés,3.4,0,0.1,-0.1,1,114,132,86.4,0,1,0.0,85,96,88.5,29,35,82.9,0,0,13,1,1
409,Sergi Roberto,DEF,Barcelona,19.3,2,1.6,+0.4,19,1379,1508,91.4,34,61,55.7,1188,1259,94.4,157,188,83.5,9,2,81,23,2
410,Joel Robles,GK,Betis,22.1,0,0.0,0.0,0,603,817,73.8,4,4,100.0,329,333,98.8,270,480,56.3,0,0,10,0,0
411,Marc Roca,MID,Espanyol,22.1,1,1.2,-0.2,17,942,1170,80.5,15,38,39.5,646,739,87.4,281,393,71.5,5,6,159,14,2
412,Rubén Rochina,MID,Levante,14.0,0,1.5,-1.5,16,460,650,70.8,4,18,22.2,328,388,84.5,128,244,52.5,8,24,66,12,5
413,Rodrigo,FWD,Valencia,15.2,7,4.3,+2.7,22,365,471,77.5,10,21,47.6,283,342,82.7,72,108,66.7,4,0,42,17,4
414,Kévin Rodrigues,DEF,Real Sociedad,0.1,0,0.0,0.0,0,4,7,57.1,0,2,0.0,4,5,80.0,0,0,0,0,0,0,0,0
415,Kévin Rodrigues,DEF,Leganés,12.1,2,2.3,-0.3,20,253,390,64.9,6,28,21.4,200,248,80.6,47,114,41.2,1,17,12,10,5
416,Óscar Rodríguez Arnaiz,MID,Leganés,16.1,1,2.2,-1.2,20,376,561,67.0,16,41,39.0,288,368,78.3,72,152,47.4,3,30,25,14,6
417,Ángel Rodríguez,FWD,Getafe,10.6,2,1.2,+0.8,9,133,222,59.9,6,14,42.9,109,166,65.7,18,42,42.9,0,0,12,6,1
418,Dani Rodríguez,MID,Mallorca,21.5,1,1.2,-0.2,17,545,669,81.5,20,44,45.5,426,484,88.0,99,141,70.2,1,5,58,13,1
419,Guido Rodríguez,MID,Betis,1.8,0,0.0,0.0,0,57,66,86.4,0,2,0.0,45,50,90.0,12,14,85.7,0,0,2,0,0
420,James Rodríguez,MID,Real Madrid,3.8,1,1.8,-0.8,13,207,263,78.7,9,16,56.3,148,167,88.6,50,80,62.5,4,13,28,10,0
421,Rodrygo,FWD,Real Madrid,7.4,0,0.9,-0.9,11,290,342,84.8,6,14,42.9,265,295,89.8,19,33,57.6,1,1,10,10,4
422,Facundo Roncaglia,DEF,Osasuna,9.3,0,0.1,-0.1,2,336,416,80.8,3,8,37.5,214,239,89.5,119,169,70.4,1,0,21,3,0
423,Roberto Rosales,DEF,Leganés,12.5,1,1.6,-0.6,13,366,552,66.3,7,31,22.6,283,340,83.2,76,181,42.0,0,6,25,3,1
424,Rubén,GK,Osasuna,12.2,0,0.0,0.0,0,199,365,54.5,0,0,0,48,48,100.0,151,317,47.6,0,0,7,0,0
425,Waldo Rubio,MID,Valladolid,4.9,1,0.4,+0.6,7,91,151,60.3,1,17,5.9,78,99,78.8,12,35,34.3,0,0,10,2,2
426,Aitor Ruibal,DEF,Leganés,4.4,0,0.4,-0.4,4,116,150,77.3,6,10,60.0,99,112,88.4,11,28,39.3,0,1,9,2,1
427,Jorge Sáenz,DEF,Celta Vigo,1.4,0,0.0,0.0,0,75,85,88.2,0,0,0,42,44,95.5,33,41,80.5,2,0,1,0,0
428,Borja Sainz,MID,Alavés,3.5,0,0.3,-0.3,3,52,71,73.2,4,8,50.0,42,49,85.7,6,14,42.9,0,0,3,2,0
429,Yannis Salibur,FWD,Mallorca,0.6,0,0.0,0.0,0,21,26,80.8,1,1,100.0,20,24,83.3,0,1,0.0,0,0,2,2,0
430,Mohammed Salisu,DEF,Valladolid,23.3,1,0.0,+1.0,1,689,826,83.4,4,12,33.3,475,521,91.2,210,293,71.7,1,0,31,1,1
431,Fede San Emeterio,MID,Valladolid,10.8,0,0.1,-0.1,4,346,410,84.4,6,11,54.5,254,286,88.8,86,113,76.1,0,0,25,1,0
432,Mikel San José,MID,Athletic Bilbao,3.9,0,0.0,0.0,1,93,125,74.4,3,7,42.9,74,89,83.1,16,29,55.2,0,0,4,2,0
433,Oihan Sancet,MID,Athletic Bilbao,3.4,1,0.4,+0.6,4,76,93,81.7,3,7,42.9,58,67,86.6,15,19,78.9,1,1,6,0,0
434,Germán Sánchez,DEF,Granada,15.7,0,0.0,0.0,0,467,551,84.8,3,3,100.0,281,316,88.9,183,232,78.9,0,0,11,1,0
435,Manuel Sánchez,DEF,Atlético Madrid,0.7,0,0.1,-0.1,2,16,21,76.2,1,1,100.0,13,17,76.5,2,3,66.7,0,0,0,2,1
