Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Matches,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
272,Adam Masina,it ITA,DEF,Watford,25,1994,11.6,1,0,0,6,1,0,16.7,0.52,0.09,0.17,1.00,0.3,0.3,0.04,+0.7,+0.7,Matches,0,0.4,-0.4,8,336,539,62.3,9,32,28.1,238,302,78.8,89,205,43.4,334,40,10,0,5,102,31,9,7
273,Arthur Masuaku,cd COD,DEF,West Ham,25,1993,10.1,0,0,0,5,2,0,40.0,0.50,0.20,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches,1,0.9,+0.1,6,455,569,80.0,10,31,32.3,383,434,88.2,62,104,59.6,429,33,8,1,0,80,27,5,3
274,Juan Mata,es ESP,MID,Manchester Utd,31,1988,7.9,0,0,0,9,1,2,11.1,1.13,0.13,0.00,0.00,1.2,1.2,0.14,-1.2,-1.2,Matches,2,1.8,+0.2,18,414,482,85.9,5,21,23.8,353,376,93.9,56,85,65.9,409,59,8,2,7,6,39,15,1
275,Nemanja Matić,rs SRB,MID,Manchester Utd,30,1988,8.7,0,0,0,4,1,0,25.0,0.46,0.12,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches,0,0.8,-0.8,8,489,568,86.1,4,12,33.3,385,429,89.7,100,127,78.7,462,72,6,1,0,3,51,10,1
276,Joël Matip,cm CMR,DEF,Liverpool,27,1991,7.0,1,0,0,3,1,0,33.3,0.43,0.14,0.33,1.00,0.2,0.2,0.07,+0.8,+0.8,Matches,0,0.0,0.0,0,388,452,85.8,0,2,0.0,250,276,90.6,138,174,79.3,49,367,11,0,0,3,34,1,0
277,Neal Maupay,fr FRA,FWD,Brighton,22,1996,21.5,8,1,1,70,25,0,35.7,3.26,1.16,0.10,0.28,9.1,8.3,0.12,-1.1,-1.3,Matches,2,2.0,0.0,18,376,481,78.2,23,47,48.9,300,363,82.6,53,71,74.6,88,347,2,3,0,9,18,19,2
278,James McArthur,sco SCO,MID,Crystal Palace,31,1987,25.3,0,0,0,24,6,0,25.0,0.95,0.24,0.00,0.00,2.2,2.2,0.09,-2.2,-2.2,Matches,2,1.8,+0.2,21,810,1029,78.7,24,60,40.0,639,746,85.7,147,223,65.9,237,697,4,2,1,24,86,16,0
279,Oliver McBurnie,sco SCO,FWD,Sheffield Utd,23,1996,14.9,4,0,0,35,15,0,42.9,2.34,1.00,0.11,0.27,6.7,6.7,0.19,-2.7,-2.7,Matches,0,1.2,-1.2,9,271,414,65.5,10,34,29.4,229,333,68.8,32,47,68.1,17,223,0,0,0,2,20,8,0
280,Alex McCarthy,eng ENG,GK,Southampton,29,1989,17.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,224,454,49.3,1,2,50.0,68,69,98.6,155,383,40.5,35,313,64,0,0,0,18,1,0
281,James McCarthy,ie IRL,MID,Crystal Palace,28,1990,11.5,0,0,0,8,2,0,25.0,0.69,0.17,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3,Matches,0,0.4,-0.4,9,356,470,75.7,25,40,62.5,260,302,86.1,71,128,55.5,131,294,22,0,6,4,36,6,0
282,John McGinn,sco SCO,MID,Aston Villa,24,1994,17.1,3,0,0,38,14,0,36.8,2.22,0.82,0.08,0.21,2.7,2.7,0.07,+0.3,+0.3,Matches,2,1.9,+0.1,29,433,569,76.1,10,27,37.0,267,325,82.2,156,217,71.9,418,119,23,3,19,2,51,23,4
283,David McGoldrick,ie IRL,FWD,Sheffield Utd,31,1987,14.9,0,0,0,36,16,0,44.4,2.41,1.07,0.00,0.00,5.6,5.6,0.15,-5.6,-5.6,Matches,2,1.5,+0.5,11,326,434,75.1,6,20,30.0,280,350,80.0,40,64,62.5,44,315,0,3,0,1,18,8,3
284,Michael McGovern,nir NIR,GK,Norwich City,35,1984,1.8,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,Matches,0,0.0,0.0,0,31,51,60.8,2,2,100.0,16,16,100.0,13,33,39.4,4,36,5,0,0,0,0,0,0
285,Kenny McLean,sco SCO,MID,Norwich City,27,1992,23.4,1,0,0,24,8,1,33.3,1.02,0.34,0.04,0.13,1.4,1.4,0.06,-0.4,-0.4,Matches,1,1.6,-0.6,20,940,1208,77.8,31,60,51.7,736,878,83.8,173,270,64.1,860,214,25,4,18,14,89,14,3
286,Dwight McNeil,eng ENG,MID,Burnley,19,1999,26.2,2,0,0,33,10,7,30.3,1.26,0.38,0.06,0.20,1.4,1.4,0.04,+0.6,+0.6,Matches,5,5.2,-0.2,40,566,839,67.5,12,57,21.1,417,506,82.4,137,276,49.6,753,32,42,3,45,6,58,26,18
287,Scott McTominay,sco SCO,MID,Manchester Utd,22,1996,16.3,3,0,0,27,8,0,29.6,1.66,0.49,0.11,0.38,1.4,1.4,0.05,+1.6,+1.6,Matches,1,0.7,+0.3,13,638,795,80.3,9,23,39.1,442,527,83.9,187,245,76.3,28,709,22,2,0,0,69,9,2
288,Ben Mee,eng ENG,DEF,Burnley,29,1989,27.0,0,0,0,14,4,0,28.6,0.52,0.15,0.00,0.00,1.3,1.3,0.09,-1.3,-1.3,Matches,1,0.6,+0.4,5,706,943,74.9,6,16,37.5,418,473,88.4,282,454,62.1,733,105,39,0,0,5,43,1,0
289,Benjamin Mendy,fr FRA,DEF,Manchester City,25,1994,12.3,0,0,0,6,1,0,16.7,0.49,0.08,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches,2,1.1,+0.9,16,841,977,86.1,10,29,34.5,701,767,91.4,130,181,71.8,801,78,11,0,0,78,41,32,15
290,Nampalys Mendy,fr FRA,MID,Leicester City,27,1992,2.2,0,0,0,1,1,0,100.0,0.46,0.46,0.00,0.00,0.0,0.0,0.02,0.0,0.0,Matches,0,0.1,-0.1,2,113,123,91.9,4,6,66.7,86,93,92.5,23,24,95.8,14,104,0,0,0,0,9,1,0
291,Chris Mepham,wal WAL,DEF,Bournemouth,21,1997,10.0,1,0,0,6,1,0,16.7,0.60,0.10,0.17,1.00,0.6,0.6,0.10,+0.4,+0.4,Matches,0,0.1,-0.1,1,399,468,85.3,3,8,37.5,282,311,90.7,114,149,76.5,55,363,8,0,0,0,14,0,0
292,Max Meyer,de GER,MID,Crystal Palace,23,1995,6.1,0,0,0,8,2,0,25.0,1.32,0.33,0.00,0.00,0.6,0.6,0.08,-0.6,-0.6,Matches,0,0.6,-0.6,2,121,163,74.2,6,22,27.3,105,123,85.4,10,18,55.6,54,99,1,1,0,1,9,6,1
293,Luka Milivojević,rs SRB,MID,Crystal Palace,28,1991,21.8,2,2,2,22,5,6,22.7,1.01,0.23,0.00,0.00,2.1,0.6,0.03,-0.1,-0.6,Matches,1,2.0,-1.0,25,899,1184,75.9,15,24,62.5,611,702,87.0,273,458,59.6,144,962,120,1,87,4,81,7,0
294,James Milner,eng ENG,MID,Liverpool,33,1986,7.4,2,2,2,9,0,0,0.0,1.21,0.00,0.00,0,1.9,0.4,0.04,+0.1,-0.4,Matches,2,0.6,+1.4,7,458,535,85.6,2,10,20.0,338,367,92.1,118,158,74.7,59,438,8,3,6,15,43,7,0
295,Yerry Mina,co COL,DEF,Everton,24,1994,23.2,2,0,0,29,10,0,34.5,1.25,0.43,0.07,0.20,2.6,2.6,0.09,-0.6,-0.6,Matches,1,0.2,+0.8,3,964,1127,85.5,5,14,35.7,559,622,89.9,400,491,81.5,139,879,33,0,0,1,48,1,0
296,Takumi Minamino,jp JPN,FWD,Liverpool,24,1995,0.7,0,0,0,2,0,0,0.0,2.73,0.00,0.00,0,0.6,0.6,0.32,-0.6,-0.6,Matches,0,0.0,0.0,0,29,30,96.7,2,2,100.0,25,26,96.2,2,2,100.0,4,24,0,0,0,0,2,0,0
297,Tyrone Mings,eng ENG,DEF,Aston Villa,26,1993,21.3,2,0,0,8,4,0,50.0,0.38,0.19,0.25,0.50,0.9,0.9,0.12,+1.1,+1.1,Matches,1,0.5,+0.5,6,770,943,81.7,4,21,19.0,426,458,93.0,340,464,73.3,771,102,33,2,0,2,43,2,0
