Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box,CrdY,CrdR,2CrdY,FoulsCommitted,FoulsDrawn,Offsides,Crosses,SuccessfulTackles,Interceptions,PKwon,PKcon,OG,SuccessfulDribbles,AttemptedDribbles,SuccessfulDribbles%,PlayersDribbledPast,Nutmegs,DribblersTackled,DribblesContested,%DribblersTackled,DribbledPastByOpponent
208,Ignatius Ganago,cm CMR,FWD,Nice,20,1999,13.6,3,0,0,17,6,0,35.3,1.25,0.44,0.18,0.50,2.7,2.7,0.16,+0.3,+0.3,1,0.6,+0.4,11,280,360,77.8,8,22,36.4,240,288,83.3,32,50,64.0,51,282,0,2,0,5,15,9,1,0,0,0,15,26,3,19,8,4,2,0,0,23,53,43.4,29,2,11,26,42.3,15
209,Yann Gboho,fr FRA,FWD,Rennes,18,2001,2.5,1,0,0,2,1,0,50.0,0.81,0.41,0.50,1.00,0.2,0.2,0.08,+0.8,+0.8,1,0.2,+0.8,4,38,52,73.1,0,5,0.0,35,42,83.3,3,5,60.0,4,43,1,0,0,0,1,3,0,1,0,0,8,8,1,1,2,1,0,0,0,7,10,70.0,8,0,3,5,60.0,2
210,Jérémy Gélin,fr FRA,DEF,Rennes,22,1997,10.1,0,0,0,3,0,0,0.0,0.30,0.00,0.00,0,0.4,0.4,0.12,-0.4,-0.4,0,0.0,0.0,2,463,523,88.5,4,9,44.4,271,294,92.2,188,220,85.5,31,460,14,2,0,0,35,0,0,1,0,0,6,9,0,1,6,15,0,0,0,1,1,100.0,1,0,13,22,59.1,9
211,Valère Germain,fr FRA,FWD,Marseille,29,1990,14.0,2,0,0,21,4,0,19.0,1.50,0.29,0.10,0.50,1.8,1.8,0.09,+0.2,+0.2,4,1.4,+2.6,9,288,389,74.0,16,35,45.7,239,298,80.2,33,56,58.9,26,307,2,0,0,7,15,1,0,1,0,0,13,11,2,22,18,5,1,0,0,4,11,36.4,5,0,21,38,55.3,17
212,Saman Ghoddos,ir IRN,FWD,Amiens,25,1993,1.9,0,0,0,5,2,1,40.0,2.57,1.03,0.00,0.00,0.3,0.3,0.06,-0.3,-0.3,0,0.4,-0.4,3,52,64,81.3,2,3,66.7,41,47,87.2,9,14,64.3,9,52,2,1,2,1,5,0,0,1,0,0,6,1,1,6,1,2,0,0,0,1,2,50.0,1,0,1,3,33.3,2
213,Andrei Girotto,br BRA,DEF,Nantes,27,1992,22.2,1,0,0,23,6,1,26.1,1.04,0.27,0.04,0.17,1.1,1.1,0.05,-0.1,-0.1,0,0.5,-0.5,3,935,1075,87.0,12,23,52.2,665,726,91.6,258,326,79.1,80,900,32,0,0,0,43,3,2,6,1,1,31,13,2,4,51,32,0,0,0,3,6,50.0,4,0,72,108,66.7,36
214,Kamil Glik,pl POL,DEF,Monaco,31,1988,21.0,1,0,0,12,4,0,33.3,0.57,0.19,0.08,0.25,1.5,1.5,0.12,-0.5,-0.5,0,0.0,0.0,0,866,970,89.3,1,5,20.0,546,578,94.5,319,387,82.4,114,782,27,0,0,0,19,1,0,4,0,0,22,13,1,0,8,25,0,2,0,0,0,,0,0,25,36,69.4,11
215,Joris Gnagnon,fr FRA,DEF,Rennes,22,1997,12.3,0,0,0,7,1,0,14.3,0.57,0.08,0.00,0.00,0.5,0.5,0.07,-0.5,-0.5,1,0.8,+0.2,3,474,515,92.0,0,2,0.0,319,339,94.1,155,174,89.1,61,410,18,0,0,0,18,1,0,2,0,0,14,6,0,3,15,18,0,0,0,1,2,50.0,1,0,21,24,87.5,3
216,Eddy Gnahoré,fr FRA,MID,Amiens,25,1993,12.6,0,0,0,8,0,0,0.0,0.63,0.00,0.00,0,0.6,0.6,0.08,-0.6,-0.6,0,0.5,-0.5,6,665,726,91.6,13,23,56.5,532,562,94.7,120,141,85.1,37,656,28,1,0,3,50,2,0,4,1,1,29,5,1,5,20,11,0,0,0,6,7,85.7,6,0,27,48,56.3,21
217,Mauro Goicoechea,uy URU,GK,Toulouse,31,1988,1.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,20,34,58.8,0,0,0,7,8,87.5,13,26,50.0,3,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
218,Aleksandr Golovin,ru RUS,MID,Monaco,23,1996,21.0,3,0,0,34,13,1,38.2,1.62,0.62,0.09,0.23,2.7,2.7,0.08,+0.3,+0.3,4,4.5,-0.5,42,787,1036,76.0,15,46,32.6,589,684,86.1,183,306,59.8,138,859,40,5,76,4,85,24,0,6,1,1,30,32,2,116,32,26,0,0,0,42,63,66.7,43,1,47,97,48.5,50
219,Alfred Gomis,sn SEN,GK,Dijon,25,1993,18.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,518,731,70.9,1,2,50.0,252,253,99.6,265,476,55.7,37,523,66,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,100.0,1,0,0,1,0.0,1
220,Mathieu Goncalves,fr FRA,DEF,Toulouse,18,2001,3.5,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,109,141,77.3,1,5,20.0,80,89,89.9,28,47,59.6,128,7,1,0,0,0,4,0,0,1,0,0,4,1,0,0,4,2,0,2,1,1,1,100.0,1,0,7,13,53.8,6
221,Álvaro González,es ESP,DEF,Marseille,29,1990,17.1,0,0,0,13,3,0,23.1,0.76,0.18,0.00,0.00,0.9,0.9,0.07,-0.9,-0.9,0,0.5,-0.5,3,707,799,88.5,2,8,25.0,476,500,95.2,229,291,78.7,143,602,15,1,0,4,40,2,0,4,1,0,14,12,0,1,8,17,0,0,1,1,2,50.0,1,0,17,23,73.9,6
222,Prince-Désir Gouano,fr FRA,DEF,Amiens,25,1993,3.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,86,99,86.9,1,2,50.0,46,46,100.0,39,51,76.5,9,86,5,0,0,0,4,0,0,0,0,0,4,2,0,1,2,2,0,0,0,0,0,,0,0,2,2,100.0,0
223,Amine Gouiri,fr FRA,FWD,Lyon,19,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
224,Max Gradel,ci CIV,MID,Toulouse,31,1987,16.5,3,2,3,32,10,6,31.3,1.94,0.61,0.03,0.10,4.2,1.9,0.06,-1.2,-0.9,2,1.9,+0.1,21,364,554,65.7,8,35,22.9,313,400,78.3,43,119,36.1,129,376,23,0,19,13,19,20,2,3,0,0,25,42,2,74,28,10,2,0,0,35,68,51.5,37,3,39,77,50.6,38
225,Samuel Grandsir,fr FRA,FWD,Brest,22,1996,14.8,3,0,0,24,6,0,25.0,1.63,0.41,0.13,0.50,2.3,2.3,0.10,+0.7,+0.7,1,1.4,-0.4,16,346,473,73.2,12,39,30.8,291,346,84.1,43,88,48.9,86,367,3,1,2,4,30,6,2,0,0,0,19,16,6,45,18,10,0,0,0,21,45,46.7,23,1,31,53,58.5,22
226,Clément Grenier,fr FRA,MID,Rennes,28,1991,9.4,1,0,0,7,2,5,28.6,0.75,0.21,0.14,0.50,0.8,0.8,0.12,+0.2,+0.2,0,0.6,-0.6,11,334,450,74.2,6,19,31.6,252,287,87.8,76,144,52.8,66,366,32,1,12,1,47,3,0,2,0,0,12,11,0,22,10,8,0,0,0,6,10,60.0,7,0,17,46,37.0,29
227,Jérémy Grimm,fr FRA,FWD,Strasbourg,32,1987,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
228,Bruno Guimarães,br BRA,MID,Lyon,21,1997,1.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,41,47,87.2,4,4,100.0,26,30,86.7,11,13,84.6,1,42,1,0,0,0,4,0,0,0,0,0,1,1,0,0,4,1,0,0,0,2,2,100.0,2,0,5,6,83.3,1
229,Sehrou Guirassy,fr FRA,FWD,Amiens,23,1996,20.4,8,2,3,40,16,2,40.0,1.96,0.78,0.15,0.38,7.9,5.6,0.14,+0.1,+0.4,2,0.7,+1.3,12,432,593,72.8,28,66,42.4,360,460,78.3,44,67,65.7,52,425,1,3,0,3,26,8,0,6,0,0,40,59,12,8,4,3,3,0,0,20,36,55.6,23,2,5,8,62.5,3
230,Rafik Guitane,fr FRA,MID,Rennes,20,1999,0.2,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,7,11,63.6,1,2,50.0,5,8,62.5,1,1,100.0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
231,Régis Gurtner,fr FRA,GK,Amiens,32,1986,26.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.2,-0.2,1,477,764,62.4,0,0,0,148,150,98.7,329,614,53.6,22,595,77,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,100.0,1,0,0,2,0.0,2
232,Luiz Gustavo,br BRA,MID,Marseille,32,1987,2.1,0,0,0,2,0,0,0.0,0.95,0.00,0.00,0,0.1,0.1,0.04,-0.1,-0.1,0,0.1,-0.1,2,88,95,92.6,0,0,0,66,69,95.7,22,26,84.6,69,20,2,0,0,0,5,0,0,0,0,0,8,1,0,2,6,6,0,0,0,0,0,,0,0,7,9,77.8,2
233,Romain Hamouma,fr FRA,FWD,Saint-Étienne,32,1987,9.6,6,0,0,21,12,1,57.1,2.18,1.25,0.29,0.50,3.7,3.7,0.18,+2.3,+2.3,1,1.7,-0.7,19,183,272,67.3,10,25,40.0,140,177,79.1,33,70,47.1,27,228,9,0,14,1,11,9,4,3,1,1,14,19,4,46,14,0,0,0,0,11,26,42.3,11,0,16,26,61.5,10
234,Benjamin Henrichs,de GER,DEF,Monaco,22,1997,8.9,0,0,0,10,1,0,10.0,1.13,0.11,0.00,0.00,1.1,1.1,0.11,-1.1,-1.1,0,0.6,-0.6,5,364,454,80.2,5,14,35.7,287,333,86.2,72,107,67.3,90,316,14,2,0,37,26,4,0,3,0,0,12,20,0,14,13,13,0,0,0,7,18,38.9,9,2,22,42,52.4,20
235,Christophe Hérelle,mq MTQ,DEF,Nice,26,1992,11.9,3,0,0,5,3,0,60.0,0.42,0.25,0.60,1.00,1.2,1.2,0.23,+1.8,+1.8,0,0.3,-0.3,3,773,862,89.7,3,12,25.0,542,565,95.9,228,285,80.0,74,724,21,2,0,43,65,2,0,3,1,0,16,11,0,10,7,17,0,1,0,4,10,40.0,4,2,16,20,80.0,4
236,Ander Herrera,es ESP,MID,Paris S-G,29,1989,6.1,1,0,0,6,2,0,33.3,0.99,0.33,0.17,0.50,0.2,0.2,0.03,+0.8,+0.8,1,0.6,+0.4,6,466,503,92.6,7,17,41.2,399,419,95.2,60,67,89.6,50,427,1,1,0,16,36,1,0,0,0,0,5,4,1,7,10,5,0,0,0,3,5,60.0,3,0,21,35,60.0,14
237,Vitorino Hilton,br BRA,DEF,Montpellier,41,1977,25.9,0,0,0,12,0,0,0.0,0.46,0.00,0.00,0,0.8,0.8,0.07,-0.8,-0.8,2,1.1,+0.9,11,980,1196,81.9,9,24,37.5,445,491,90.6,526,681,77.2,281,823,45,3,0,6,88,7,0,2,0,0,17,30,0,4,21,48,0,0,0,4,6,66.7,4,0,32,54,59.3,22
238,Josué Homawoo,fr FRA,DEF,Nantes,21,1997,0.5,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,17,24,70.8,0,1,0.0,15,18,83.3,2,5,40.0,17,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,6,6,100.0,0
239,Franck Honorat,fr FRA,FWD,Saint-Étienne,22,1996,8.6,0,0,0,5,1,0,20.0,0.58,0.12,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,3,2.2,+0.8,12,236,376,62.8,6,31,19.4,195,258,75.6,35,87,40.2,36,265,2,2,3,49,14,4,1,1,0,0,6,5,0,53,15,4,0,0,0,8,18,44.4,10,1,19,34,55.9,15
240,Adrien Hunou,fr FRA,FWD,Rennes,25,1994,12.4,6,0,0,26,11,0,42.3,2.10,0.89,0.23,0.55,5.7,5.7,0.23,+0.3,+0.3,1,1.5,-0.5,14,225,292,77.1,6,23,26.1,198,239,82.8,21,30,70.0,25,232,0,0,0,3,6,7,2,2,0,0,18,33,4,9,16,4,1,0,0,11,16,68.8,11,0,23,43,53.5,20
241,Suk Hyun-jun,kr KOR,FWD,Reims,28,1991,2.8,1,0,0,12,3,0,25.0,4.30,1.08,0.08,0.33,1.1,1.1,0.09,-0.1,-0.1,1,0.5,+0.5,3,28,57,49.1,2,9,22.2,26,46,56.5,0,2,0.0,2,24,0,0,0,0,1,2,1,3,0,0,16,4,2,1,4,1,0,0,0,1,5,20.0,1,1,4,5,80.0,1
242,Didier Ibrahim Ndong,ga GAB,MID,Dijon,25,1994,24.5,0,0,0,19,6,0,31.6,0.77,0.24,0.00,0.00,0.8,0.8,0.04,-0.8,-0.8,3,2.0,+1.0,17,1146,1307,87.7,17,36,47.2,828,902,91.8,301,369,81.6,209,1046,28,0,0,6,77,2,0,5,0,0,33,13,3,23,50,44,0,0,0,22,36,61.1,25,0,70,99,70.7,29
243,Mauro Icardi,ar ARG,FWD,Paris S-G,26,1993,13.9,11,0,0,35,19,0,54.3,2.52,1.37,0.31,0.58,9.8,9.8,0.29,+1.2,+1.2,2,2.9,-0.9,11,148,176,84.1,18,27,66.7,116,133,87.2,14,16,87.5,26,139,0,2,0,0,11,6,0,0,0,0,12,9,12,3,4,1,1,0,0,5,9,55.6,5,0,6,18,33.3,12
244,Jonathan Ikone,fr FRA,MID,Lille,21,1998,21.3,3,1,1,31,12,0,38.7,1.45,0.56,0.06,0.17,4.1,3.3,0.11,-1.1,-1.3,6,3.0,+3.0,30,516,668,77.2,14,46,30.4,421,509,82.7,81,113,71.7,560,73,4,4,4,9,41,26,1,5,0,0,16,24,2,17,12,4,0,0,0,56,105,53.3,65,6,17,34,50.0,17
245,Yun Il-lok,kr KOR,MID,Montpellier,27,1992,1.1,0,0,0,1,0,0,0.0,0.89,0.00,0.00,0,0.2,0.2,0.25,-0.2,-0.2,0,0.7,-0.7,2,33,44,75.0,1,3,33.3,30,36,83.3,2,5,40.0,10,26,0,0,0,1,2,1,1,0,0,0,1,0,0,3,1,0,0,0,0,3,6,50.0,3,0,2,4,50.0,2
246,Edmilson Indjai,gw GNB,FWD,Saint-Étienne,19,2000,0.5,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.1,-0.1,1,10,12,83.3,0,0,0,9,11,81.8,1,1,100.0,1,9,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,1,1,100.0,1,0,0,0,,0
247,Nicolas Isimat-Mirin,fr FRA,DEF,Toulouse,27,1991,14.0,1,0,0,3,3,0,100.0,0.21,0.21,0.33,0.33,0.5,0.5,0.17,+0.5,+0.5,0,0.1,-0.1,2,424,495,85.7,9,14,64.3,270,294,91.8,145,187,77.5,66,396,16,0,0,0,14,4,1,4,0,0,16,8,0,0,16,26,0,0,0,1,1,100.0,1,0,23,29,79.3,6
248,Christophe Jallet,fr FRA,DEF,Amiens,35,1983,8.5,1,0,0,4,1,1,25.0,0.47,0.12,0.25,1.00,0.1,0.1,0.04,+0.9,+0.9,1,0.6,+0.4,10,382,487,78.4,4,16,25.0,300,349,86.0,78,122,63.9,75,305,15,0,14,86,34,9,4,0,0,0,7,5,0,36,14,15,0,0,0,6,8,75.0,6,0,26,48,54.2,22
249,Corentin Jean,fr FRA,DEF,Toulouse,24,1995,0.1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,5,9,55.6,0,1,0.0,4,4,100.0,1,4,25.0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0.0,1,0,0,0,,0
250,Benjamin Jeannot,fr FRA,MID,Dijon,27,1992,1.9,0,0,0,5,3,0,60.0,2.68,1.61,0.00,0.00,0.3,0.3,0.06,-0.3,-0.3,0,0.0,0.0,0,54,68,79.4,0,2,0.0,44,52,84.6,10,14,71.4,7,52,2,0,0,3,5,2,0,0,0,0,0,3,0,1,1,2,0,0,0,0,0,,0,0,1,6,16.7,5
251,Jemerson,br BRA,DEF,Monaco,26,1992,11.8,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.1,-0.1,2,545,636,85.7,7,15,46.7,442,483,91.5,96,138,69.6,68,504,25,0,0,35,42,2,1,2,1,0,21,8,0,4,14,15,0,0,0,1,1,100.0,1,0,30,43,69.8,13
252,Jesé,es ESP,FWD,Paris S-G,26,1993,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2,2,100.0,0,0,0,2,2,100.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0
253,Vukašin Jovanović,rs SRB,DEF,Bordeaux,23,1996,5.6,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,1,0.2,+0.8,2,371,413,89.8,1,4,25.0,266,280,95.0,104,129,80.6,47,339,7,0,0,6,17,1,0,4,0,0,8,7,0,0,10,13,0,0,0,2,2,100.0,2,0,24,32,75.0,8
254,Stevan Jovetić,me MNE,FWD,Monaco,29,1989,4.0,2,0,0,15,6,2,40.0,3.71,1.48,0.13,0.33,1.0,1.0,0.07,+1.0,+1.0,0,0.6,-0.6,4,110,163,67.5,4,11,36.4,85,107,79.4,21,45,46.7,18,124,0,2,0,4,9,6,1,2,0,0,9,5,0,5,1,2,0,0,0,12,21,57.1,12,0,1,5,20.0,4
255,Abdoul Kader Bamba,fr FRA,FWD,Nantes,25,1994,14.5,1,0,0,18,9,0,50.0,1.24,0.62,0.06,0.11,1.6,1.6,0.09,-0.6,-0.6,3,4.4,-1.4,33,498,626,79.6,12,34,35.3,432,501,86.2,54,91,59.3,63,525,15,2,15,7,26,19,4,5,0,0,20,44,2,46,14,11,0,0,0,51,91,56.0,56,1,25,47,53.2,22
256,Gaël Kakuta,cd COD,MID,Amiens,28,1991,20.3,2,0,0,38,11,6,28.9,1.87,0.54,0.05,0.18,3.1,3.1,0.08,-1.1,-1.1,5,1.9,+3.1,25,535,780,68.6,22,65,33.8,430,537,80.1,83,178,46.6,636,97,13,5,34,3,47,22,2,4,0,0,27,21,1,82,26,15,0,0,0,45,76,59.2,49,3,38,66,57.6,28
257,Lovre Kalinić,hr CRO,GK,Toulouse,29,1990,3.4,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,56,119,47.1,0,0,0,19,20,95.0,37,99,37.4,86,10,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0.0,1
258,Samuel Kalu,ng NGA,DEF,Bordeaux,21,1997,13.5,1,0,0,36,11,1,30.6,2.67,0.82,0.03,0.09,2.1,2.1,0.06,-1.1,-1.1,1,1.8,-0.8,9,366,496,73.8,6,18,33.3,309,377,82.0,51,101,50.5,45,391,0,0,1,30,28,5,1,2,0,0,26,28,3,27,17,17,0,0,0,44,75,58.7,47,0,38,57,66.7,19
259,François Kamano,gn GUI,DEF,Bordeaux,23,1996,7.1,1,0,0,5,2,0,40.0,0.70,0.28,0.20,0.50,0.9,0.9,0.17,+0.1,+0.1,0,0.4,-0.4,5,242,305,79.3,3,13,23.1,218,253,86.2,21,39,53.8,22,256,3,1,0,15,9,3,2,1,0,0,10,16,1,9,8,3,1,0,0,10,25,40.0,10,2,14,22,63.6,8
260,Boubacar Kamara,fr FRA,DEF,Marseille,19,1999,22.8,1,0,0,15,3,0,20.0,0.66,0.13,0.07,0.33,0.5,0.5,0.04,+0.5,+0.5,2,0.4,+1.6,7,1082,1224,88.4,16,25,64.0,770,818,94.1,296,381,77.7,117,1025,48,2,0,3,77,5,0,7,1,0,23,30,0,0,52,36,0,1,0,14,22,63.6,14,1,74,113,65.5,39
261,Hassane Kamara,gm GAM,DEF,Reims,24,1994,17.0,1,0,0,18,3,1,16.7,1.06,0.18,0.06,0.33,0.7,0.7,0.04,+0.3,+0.3,0,0.5,-0.5,11,839,1038,80.8,9,42,21.4,678,758,89.4,152,238,63.9,756,96,8,0,0,148,48,14,7,4,0,0,16,18,2,56,30,55,0,0,0,31,49,63.3,33,1,64,84,76.2,20
262,Wilfried Kanga,fr FRA,FWD,Angers,21,1998,0.7,0,0,0,2,0,0,0.0,2.81,0.00,0.00,0,0.1,0.1,0.06,-0.1,-0.1,0,0.1,-0.1,2,12,17,70.6,2,4,50.0,9,12,75.0,1,1,100.0,2,13,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,1,1,100.0,1,0,0,1,0.0,1
263,Thilo Kehrer,de GER,DEF,Paris S-G,22,1996,4.3,1,0,0,3,2,0,66.7,0.69,0.46,0.33,0.50,0.2,0.2,0.07,+0.8,+0.8,0,0.3,-0.3,2,327,350,93.4,3,5,60.0,267,282,94.7,57,63,90.5,87,236,6,1,0,9,18,2,0,0,0,0,6,2,1,1,6,1,0,0,0,0,1,0.0,0,0,9,14,64.3,5
264,Jules Keita,gn GUI,MID,Dijon,21,1998,1.7,0,0,0,3,0,0,0.0,1.72,0.00,0.00,0,0.1,0.1,0.03,-0.1,-0.1,0,0.4,-0.4,1,27,35,77.1,0,2,0.0,26,31,83.9,1,2,50.0,6,27,0,1,0,0,4,2,0,0,0,0,3,2,0,0,1,3,0,0,0,9,20,45.0,12,0,2,6,33.3,4
265,Saîf-Eddine Khaoui,tn TUN,MID,Marseille,24,1995,1.1,0,0,0,5,2,0,40.0,4.55,1.82,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,0,0.1,-0.1,2,41,59,69.5,2,3,66.7,35,43,81.4,4,13,30.8,51,4,2,1,5,0,0,1,0,1,0,0,4,1,0,8,1,1,0,0,0,2,4,50.0,2,0,3,5,60.0,2
266,Wahbi Khazri,tn TUN,FWD,Saint-Étienne,28,1991,12.8,3,1,1,45,8,3,17.8,3.51,0.62,0.04,0.25,3.8,3.1,0.07,-0.8,-1.1,2,1.4,+0.6,18,224,357,62.7,10,24,41.7,158,213,74.2,56,120,46.7,28,309,15,1,36,7,25,6,2,4,0,0,21,19,5,60,11,5,0,0,0,19,41,46.3,20,0,18,37,48.6,19
267,Presnel Kimpembe,fr FRA,DEF,Paris S-G,23,1995,12.6,0,0,0,6,2,0,33.3,0.48,0.16,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4,0,0.1,-0.1,2,932,983,94.8,5,15,33.3,724,746,97.1,203,222,91.4,797,148,22,0,0,2,35,0,0,6,0,0,14,18,0,1,24,21,0,0,0,12,13,92.3,12,0,40,50,80.0,10
268,Timothée Kolodziejczak,fr FRA,DEF,Saint-Étienne,27,1991,12.5,0,0,0,3,1,0,33.3,0.24,0.08,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2,0,0.2,-0.2,5,509,650,78.3,2,16,12.5,405,460,88.0,102,174,58.6,525,35,15,0,0,41,29,2,1,4,0,0,12,4,1,19,12,26,0,1,0,3,5,60.0,4,0,16,30,53.3,14
269,Ghislain Konan,ci CIV,DEF,Reims,23,1995,13.1,0,0,0,2,0,0,0.0,0.15,0.00,0.00,0,0.0,0.0,0.02,0.0,0.0,0,0.9,-0.9,12,621,785,79.1,8,32,25.0,516,592,87.2,97,161,60.2,561,48,11,2,1,151,52,11,4,0,0,0,16,21,0,43,23,23,0,0,0,34,56,60.7,38,3,38,54,70.4,16
270,Moussa Konaté,sn SEN,FWD,Amiens,26,1993,5.8,2,0,1,9,4,0,44.4,1.56,0.69,0.22,0.50,1.4,0.5,0.11,+0.6,+1.5,0,0.0,0.0,2,81,109,74.3,4,10,40.0,69,89,77.5,8,10,80.0,22,64,0,0,0,1,7,1,0,0,0,0,10,11,1,1,4,2,0,0,0,6,10,60.0,7,1,5,9,55.6,4
271,Kouadio Koné,fr FRA,MID,Toulouse,18,2001,8.7,0,0,0,8,1,0,12.5,0.92,0.11,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,0,0.1,-0.1,5,285,341,83.6,8,11,72.7,228,263,86.7,49,67,73.1,31,284,4,0,0,1,22,0,0,5,1,1,16,25,0,0,20,15,0,0,0,12,15,80.0,13,0,28,51,54.9,23
272,Lamine Koné,ci CIV,DEF,Strasbourg,30,1989,15.4,1,0,0,7,1,0,14.3,0.46,0.07,0.14,1.00,0.5,0.5,0.07,+0.5,+0.5,0,0.4,-0.4,4,571,697,81.9,3,17,17.6,372,417,89.2,196,263,74.5,116,521,28,0,0,4,40,4,2,4,0,0,15,10,2,4,19,21,0,0,0,6,7,85.7,6,0,31,41,75.6,10
273,Moussa Koné,sn SEN,FWD,Nîmes,22,1996,0.8,2,0,0,2,2,0,100.0,2.50,2.50,1.00,1.00,0.6,0.6,0.32,+1.4,+1.4,0,0.0,0.0,0,14,16,87.5,1,1,100.0,9,11,81.8,4,4,100.0,2,13,0,0,0,0,2,0,0,0,0,0,2,2,2,0,1,1,0,0,0,0,0,,0,0,1,4,25.0,3
274,Youssouf Koné,ml MLI,DEF,Lyon,24,1995,9.1,0,0,0,3,0,0,0.0,0.33,0.00,0.00,0,0.0,0.0,0.01,0.0,0.0,0,0.6,-0.6,10,561,648,86.6,2,9,22.2,454,492,92.3,105,147,71.4,490,61,8,0,0,77,28,5,2,1,1,0,4,6,0,25,15,7,0,0,0,17,26,65.4,19,1,24,33,72.7,9
275,Laurent Koscielny,fr FRA,DEF,Bordeaux,33,1985,22.3,0,0,0,2,1,0,50.0,0.09,0.04,0.00,0.00,0.4,0.4,0.19,-0.4,-0.4,0,0.6,-0.6,4,1153,1285,89.7,5,8,62.5,781,834,93.6,367,443,82.8,123,1072,36,0,0,6,45,2,0,2,0,0,15,11,1,0,16,26,0,1,0,0,1,0.0,0,0,26,37,70.3,11
276,Nianzou Kouassi,fr FRA,DEF,Paris S-G,17,2002,4.2,2,0,0,2,2,0,100.0,0.47,0.47,1.00,1.00,0.4,0.4,0.19,+1.6,+1.6,0,0.2,-0.2,3,232,249,93.2,2,4,50.0,175,187,93.6,55,58,94.8,22,217,5,0,0,0,19,0,0,1,0,0,6,8,0,0,4,3,0,0,0,1,1,100.0,1,0,5,7,71.4,2
