Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box,CrdY,CrdR,2CrdY,FoulsCommitted,FoulsDrawn,Offsides,Crosses,SuccessfulTackles,Interceptions,PKwon,PKcon,OG,SuccessfulDribbles,AttemptedDribbles,SuccessfulDribbles%,PlayersDribbledPast,Nutmegs,DribblersTackled,DribblesContested,%DribblersTackled,DribbledPastByOpponent
171,Axel Disasi,fr FRA,DEF,Reims,21,1998,26.0,1,0,0,15,2,0,13.3,0.58,0.08,0.07,0.50,2.2,2.2,0.15,-1.2,-1.2,0,0.4,-0.4,3,1198,1395,85.9,3,11,27.3,716,781,91.7,479,603,79.4,104,1190,26,3,0,5,78,10,0,3,0,0,36,23,0,4,23,25,0,2,0,11,15,73.3,11,0,34,43,79.1,9
172,Tiago Djaló,pt POR,DEF,Lille,19,2000,7.4,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,380,432,88.0,5,10,50.0,244,265,92.1,131,157,83.4,42,370,15,0,0,7,15,2,0,1,0,0,9,5,0,3,8,10,0,1,0,1,3,33.3,1,0,9,15,60.0,6
173,Alexander Djiku,fr FRA,DEF,Strasbourg,24,1994,21.9,1,0,0,19,6,0,31.6,0.87,0.27,0.05,0.17,2.4,2.4,0.12,-1.4,-1.4,1,0.4,+0.6,5,1014,1143,88.7,6,13,46.2,660,716,92.2,348,414,84.1,175,886,26,0,0,5,65,3,1,5,0,0,30,23,0,6,39,49,0,0,0,13,17,76.5,14,1,64,80,80.0,16
174,Kasper Dolberg,dk DEN,FWD,Nice,21,1997,19.1,9,0,0,39,23,0,59.0,2.04,1.20,0.23,0.39,7.2,7.2,0.18,+1.8,+1.8,3,1.1,+1.9,7,217,282,77.0,8,24,33.3,181,223,81.2,28,35,80.0,22,239,2,0,0,1,3,4,0,2,0,0,26,30,6,3,7,9,0,0,0,15,34,44.1,15,2,15,28,53.6,13
175,Keagan Dolly,za RSA,MID,Montpellier,26,1993,1.6,0,0,0,4,2,0,50.0,2.52,1.26,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,0,0.1,-0.1,4,57,75,76.0,1,5,20.0,50,57,87.7,6,13,46.2,61,9,2,0,3,1,8,2,1,1,0,0,6,0,0,4,1,1,0,0,0,3,5,60.0,3,0,3,7,42.9,4
176,Anastasios Donis,gr GRE,FWD,Reims,22,1996,5.8,0,0,0,12,6,0,50.0,2.05,1.03,0.00,0.00,1.0,1.0,0.09,-1.0,-1.0,0,0.1,-0.1,3,61,108,56.5,3,15,20.0,45,65,69.2,13,28,46.4,26,67,0,0,0,4,0,0,0,1,0,0,16,4,4,16,1,0,0,0,0,20,30,66.7,21,0,3,12,25.0,9
177,Gabriel Dos Santos,br BRA,DEF,Lille,21,1997,21.2,1,0,0,13,3,0,23.1,0.61,0.14,0.08,0.33,0.8,0.8,0.06,+0.2,+0.2,0,0.1,-0.1,3,1156,1364,84.8,6,17,35.3,788,855,92.2,362,492,73.6,1178,73,35,0,0,16,107,2,0,3,0,0,18,23,0,2,27,25,0,0,1,5,7,71.4,6,0,36,46,78.3,10
178,Mathieu Dossevi,tg TOG,MID,Toulouse,31,1988,18.7,1,0,0,21,3,1,14.3,1.12,0.16,0.05,0.33,1.5,1.5,0.07,-0.5,-0.5,2,4.5,-2.5,46,450,705,63.8,15,62,24.2,343,443,77.4,92,200,46.0,36,635,16,1,69,8,22,12,2,0,0,0,22,21,5,183,21,13,0,0,0,32,57,56.1,35,0,34,54,63.0,20
179,Moussa Doumbia,ml MLI,FWD,Reims,24,1994,18.2,2,1,1,40,8,3,20.0,2.19,0.44,0.03,0.13,3.1,2.3,0.06,-1.1,-1.3,0,1.0,-1.0,23,506,649,78.0,20,45,44.4,392,468,83.8,94,136,69.1,104,505,13,3,18,8,36,16,3,8,1,1,21,52,1,43,12,12,1,0,0,58,98,59.2,61,1,19,31,61.3,12
180,Souleyman Doumbia,ci CIV,DEF,Angers,22,1996,3.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.1,-0.1,2,152,196,77.6,2,9,22.2,135,148,91.2,15,39,38.5,139,18,2,0,0,33,12,3,1,1,0,0,3,2,0,12,3,3,0,0,0,3,6,50.0,4,2,8,11,72.7,3
181,Souleyman Doumbia,ci CIV,DEF,Rennes,22,1996,1.0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.1,-0.1,1,38,48,79.2,1,2,50.0,29,36,80.6,8,10,80.0,32,2,0,0,0,10,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,4,5,80.0,4,0,2,2,100.0,0
182,Julian Draxler,de GER,MID,Paris S-G,25,1993,6.8,0,0,0,10,4,0,40.0,1.47,0.59,0.00,0.00,1.1,1.1,0.11,-1.1,-1.1,3,1.4,+1.6,9,396,447,88.6,5,12,41.7,330,361,91.4,61,74,82.4,69,366,5,2,7,3,32,17,1,5,0,0,16,4,0,9,8,8,0,0,0,12,19,63.2,12,0,12,21,57.1,9
183,Leo Dubois,fr FRA,DEF,Lyon,24,1994,13.0,0,0,0,5,0,0,0.0,0.39,0.00,0.00,0,0.1,0.1,0.03,-0.1,-0.1,0,0.9,-0.9,12,667,828,80.6,7,23,30.4,527,601,87.7,133,204,65.2,107,562,7,1,2,129,43,8,4,2,0,0,16,9,1,51,16,14,0,0,0,10,20,50.0,10,0,24,36,66.7,12
184,Haris Duljević,ba BIH,FWD,Nîmes,25,1993,5.7,0,0,0,14,4,0,28.6,2.45,0.70,0.00,0.00,0.9,0.9,0.06,-0.9,-0.9,3,1.3,+1.7,12,116,161,72.0,4,8,50.0,100,125,80.0,12,28,42.9,28,125,1,2,1,2,4,8,2,0,0,0,4,8,1,11,10,2,0,0,0,12,20,60.0,13,0,13,21,61.9,8
185,Riza Durmisi,dk DEN,DEF,Nice,25,1994,0.2,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,9,12,75.0,0,0,0,4,5,80.0,5,7,71.4,8,4,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,,0,0,0,0,,0
186,Jean-Kevin Duverne,fr FRA,DEF,Brest,22,1997,11.1,0,0,0,1,0,0,0.0,0.09,0.00,0.00,0,0.1,0.1,0.06,-0.1,-0.1,0,0.2,-0.2,2,546,641,85.2,4,11,36.4,344,375,91.7,198,255,77.6,89,497,19,2,0,3,38,2,0,0,0,0,8,9,0,0,10,18,0,1,0,5,8,62.5,6,0,15,25,60.0,10
