Player,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
Kyle Walker,1,0,0,11,2,0,18.2,0.61,0.11,0.09,0.50,0.8,0.8,0.07,+0.2,+0.2
Kyle Walker-Peters,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Kyle Walker-Peters,0,0,0,1,0,0,0.0,0.37,0.00,0.00,0,0.0,0.0,0.03,0.0,0.0
Aaron Wan-Bissaka,0,0,0,6,1,0,16.7,0.26,0.04,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3
Victor Wanyama,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Joel Ward,0,0,0,3,1,0,33.3,0.21,0.07,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
James Ward-Prowse,4,1,2,34,15,16,44.1,1.31,0.58,0.09,0.20,4.3,2.6,0.10,-0.3,+0.4
Adam Webster,3,0,0,14,6,0,42.9,0.72,0.31,0.21,0.50,1.1,1.1,0.08,+1.9,+1.9
Danny Welbeck,0,0,0,5,2,0,40.0,1.82,0.73,0.00,0.00,0.6,0.6,0.13,-0.6,-0.6
Ashley Westwood,2,0,0,10,2,2,20.0,0.43,0.09,0.20,1.00,1.4,1.4,0.14,+0.6,+0.6
Connor Wickham,1,0,0,4,2,0,50.0,4.00,2.00,0.25,0.50,1.4,1.4,0.35,-0.4,-0.4
Georginio Wijnaldum,2,0,0,26,11,0,42.3,1.12,0.47,0.08,0.18,1.7,1.7,0.06,+0.3,+0.3
Jetro Willems,2,0,0,14,6,0,42.9,0.84,0.36,0.14,0.33,0.6,0.6,0.04,+1.4,+1.4
Brandon Williams,1,0,0,5,2,0,40.0,0.66,0.26,0.20,0.50,0.5,0.5,0.11,+0.5,+0.5
Willian,4,1,1,48,14,4,29.2,2.37,0.69,0.06,0.21,3.4,2.6,0.05,+0.6,+0.4
Joe Willock,0,0,0,8,3,0,37.5,1.25,0.47,0.00,0.00,0.8,0.8,0.10,-0.8,-0.8
Jack Wilshere,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
Callum Wilson,7,0,0,35,15,0,42.9,1.51,0.65,0.20,0.47,6.9,6.9,0.20,+0.1,+0.1
Harry Wilson,7,0,0,43,15,12,34.9,2.82,0.98,0.16,0.47,3.0,3.0,0.07,+4.0,+4.0
Harry Winks,0,0,0,8,2,0,25.0,0.51,0.13,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3
Chris Wood,10,0,0,45,21,0,46.7,2.08,0.97,0.22,0.48,8.7,8.7,0.19,+1.3,+1.3
Granit Xhaka,0,0,0,8,2,0,25.0,0.42,0.10,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2
Andriy Yarmolenko,3,0,0,20,9,1,45.0,2.17,0.98,0.15,0.33,1.5,1.5,0.07,+1.5,+1.5
DeAndre Yedlin,1,0,0,1,1,0,100.0,0.12,0.12,1.00,1.00,0.7,0.7,0.68,+0.3,+0.3
Maya Yoshida,0,0,0,4,3,0,75.0,0.65,0.48,0.00,0.00,0.6,0.6,0.14,-0.6,-0.6
Ashley Young,0,0,0,3,0,0,0.0,0.28,0.00,0.00,0,0.1,0.1,0.04,-0.1,-0.1
Pablo Zabaleta,0,0,0,1,0,0,0.0,0.16,0.00,0.00,0,0.1,0.1,0.06,-0.1,-0.1
Wilfried Zaha,3,0,0,37,10,0,27.0,1.46,0.40,0.08,0.30,2.7,2.7,0.07,+0.3,+0.3
Christoph Zimmermann,0,0,0,6,1,0,16.7,0.42,0.07,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4
Oleksandr Zinchenko,0,0,0,12,2,0,16.7,1.30,0.22,0.00,0.00,0.3,0.3,0.03,-0.3,-0.3
Kurt Zouma,0,0,0,12,4,0,33.3,0.63,0.21,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6
