Rk,Player,Nation,Position,Squad,Age,Born,90s,Goals,PK,PKatt,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG,Assists,xA,Assists-xA,KeyPasses,Total Passes Completed,Total Passes Attempted,Total Passes Completed%,Short Passes Completed,Short Attempted Passes,Short Passes Completed%,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completed%,Long Passes Completed,Long Passes Attempted,Long Passes Completed%,Passes With LF,Passes with RF,Free Kick Passes,Through Ball Passes,Corner Kicks,Throw Ins,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box
19,Charles Aránguiz,cl CHI,MID,Leverkusen,30,1989,14.7,1,0,0,10,2,0,20.0,0.68,0.14,0.10,0.50,1.0,1.0,0.10,0.0,0.0,3,1.5,+1.5,18,868,1005,86.4,6,24,25.0,699,757,92.3,163,224,72.8,163,794,22,0,2,1,86,4,0
20,Maximilian Arnold,de GER,MID,Wolfsburg,25,1994,20.8,3,0,0,41,13,4,31.7,1.98,0.63,0.07,0.23,1.6,1.6,0.04,+1.4,+1.4,4,4.9,-0.9,49,738,1005,73.4,19,39,48.7,481,552,87.1,238,414,57.5,753,188,92,8,65,15,69,16,5
21,Santiago Ascacíbar,ar ARG,MID,Hertha BSC,22,1997,6.0,0,0,0,2,0,0,0.0,0.33,0.00,0.00,0,0.0,0.0,0.01,0.0,0.0,1,0.2,+0.8,2,228,268,85.1,9,16,56.3,168,189,88.9,51,63,81.0,62,184,16,0,1,2,8,1,1
22,Ludwig Augustinsson,se SWE,DEF,Werder Bremen,25,1994,6.7,0,0,0,2,0,1,0.0,0.30,0.00,0.00,0,0.1,0.1,0.07,-0.1,-0.1,1,0.6,+0.4,12,243,340,71.5,1,15,6.7,210,244,86.1,32,81,39.5,238,19,11,0,9,58,8,6,4
23,Taiwo Awoniyi,ng NGA,FWD,Mainz 05,21,1997,1.7,0,0,0,5,1,0,20.0,3.00,0.60,0.00,0.00,0.7,0.7,0.13,-0.7,-0.7,0,0.1,-0.1,1,15,26,57.7,0,5,0.0,15,20,75.0,0,1,0.0,12,6,0,0,0,0,2,0,0
24,Kaan Ayhan,tr TUR,DEF,Düsseldorf,24,1994,21.4,2,0,0,20,4,5,20.0,0.94,0.19,0.10,0.50,2.0,2.0,0.10,0.0,0.0,3,2.2,+0.8,13,880,1046,84.1,6,21,28.6,552,599,92.2,322,426,75.6,96,877,38,5,0,31,75,8,2
25,Matthias Bader,de GER,DEF,Köln,22,1997,0.1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,4,7,57.1,0,0,0,4,4,100.0,0,3,0.0,1,3,1,0,0,3,0,0,0
26,Daniel Baier,de GER,MID,Augsburg,35,1984,17.6,1,0,0,14,1,0,7.1,0.79,0.06,0.07,1.00,0.5,0.5,0.03,+0.5,+0.5,0,0.4,-0.4,7,544,707,76.9,7,25,28.0,380,451,84.3,157,231,68.0,46,585,26,2,0,4,48,7,0
27,Leon Bailey,jm JAM,FWD,Leverkusen,21,1997,6.6,4,0,0,22,9,1,40.9,3.36,1.37,0.18,0.44,2.8,2.8,0.13,+1.2,+1.2,1,1.6,-0.6,11,176,269,65.4,6,19,31.6,134,181,74.0,36,69,52.2,197,52,6,3,8,5,7,14,5
28,Lewis Baker,eng ENG,MID,Düsseldorf,24,1995,6.1,0,0,0,12,5,2,41.7,1.97,0.82,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,0,0.3,-0.3,6,184,230,80.0,6,11,54.5,128,152,84.2,50,67,74.6,79,141,7,0,2,0,21,3,0
29,Ridle Baku,de GER,MID,Mainz 05,21,1998,16.6,0,0,0,13,3,0,23.1,0.78,0.18,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,0,1.8,-1.8,17,514,703,73.1,10,28,35.7,372,474,78.5,132,201,65.7,104,486,13,0,0,72,42,13,4
30,Leonardo Balerdi,ar ARG,DEF,Dortmund,20,1999,0.1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,17,17,100.0,0,0,0,16,16,100.0,1,1,100.0,1,16,0,0,0,0,1,0,0
