Rk,Player,Position,Squad,90s,Assists,xA,Assists-xA,KeyPasses,Total Completed Passes,Total Attempted Passes,Total Pass Completion %,Short Completed Passes,Short Attempted Passes,Short Pass Completion %,Medium Completed Passes,Medium Attempted Passes,Medium Pass Completion %,Long Completed Passes,Long Attempted Passes,Long Pass Completion %,Through Ball Passes,Corner Kicks,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
589,Nicolás Tagliafico,DEF,nl Ajax,6.0,1,0.4,+0.6,3,261,332,78.6,3,23,13.0,231,261,88.5,27,48,56.3,0,0,18,11,3,1,0,0,3,2,0,66.7,0.50,0.33,0.33,0.50,0.2,0.2,0.06,+0.8,+0.8
590,Jonathan Tah,DEF,de Bayer,5.0,0,0.1,-0.1,2,346,379,91.3,2,7,28.6,222,238,93.3,122,134,91.0,0,0,29,3,1,0,0,0,1,0,0,0.0,0.20,0.00,0.00,0,0.0,0.0,0.02,0.0,0.0
591,Taison,MID,ua Shakhtar,5.0,0,0.8,-0.8,8,274,305,89.8,12,19,63.2,213,229,93.0,49,57,86.0,3,1,20,18,1,0,0,0,9,2,0,22.2,1.80,0.40,0.00,0.00,0.3,0.3,0.03,-0.3,-0.3
592,Laco Takács,DEF,cz Slavia Prague,1.0,0,0.0,0.0,0,40,45,88.9,0,0,0,27,29,93.1,13,16,81.3,0,0,4,0,0,0,0,0,1,0,0,0.0,1.01,0.00,0.00,0,0.2,0.2,0.16,-0.2,-0.2
593,Adrien Tameze,MID,it Atalanta,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
594,Percy Tau,FWD,be Club Brugge,2.7,1,0.6,+0.4,3,57,82,69.5,0,4,0.0,54,69,78.3,3,9,33.3,0,3,0,3,1,0,0,0,2,2,0,100.0,0.75,0.75,0.00,0.00,0.7,0.7,0.33,-0.7,-0.7
595,David Tavares,MID,pt Benfica,0.3,0,0.0,0.0,0,8,8,100.0,0,0,0,6,6,100.0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
596,Tomás Tavares,DEF,pt Benfica,5.0,0,0.4,-0.4,5,256,307,83.4,8,19,42.1,228,250,91.2,20,38,52.6,0,0,17,4,1,0,0,0,1,0,0,0.0,0.20,0.00,0.00,0,0.0,0.0,0.04,0.0,0.0
597,Stanislav Tecl,FWD,cz Slavia Prague,1.5,0,0.1,-0.1,1,24,37,64.9,0,3,0.0,20,27,74.1,4,7,57.1,0,0,1,1,0,0,0,0,2,0,0,0.0,1.31,0.00,0.00,0,0.3,0.3,0.14,-0.3,-0.3
598,Marc-André ter Stegen,GK,es Barcelona,5.0,0,0.0,0.0,0,140,163,85.9,0,0,0,84,84,100.0,56,79,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
599,Martin Terrier,FWD,fr Lyon,2.4,0,0.3,-0.3,2,57,81,70.4,0,1,0.0,51,67,76.1,6,13,46.2,0,0,3,1,0,1,0,0,2,1,0,50.0,0.83,0.41,0.50,1.00,0.4,0.4,0.22,+0.6,+0.6
600,Tetê,MID,ua Shakhtar,1.7,0,0.5,-0.5,5,45,56,80.4,1,4,25.0,39,44,88.6,5,8,62.5,0,3,2,1,0,1,1,1,4,0,0,0.0,2.32,0.00,0.00,0,1.0,0.2,0.05,0.0,-0.2
601,Kenny Tete,DEF,fr Lyon,1.0,0,0.2,-0.2,2,45,60,75.0,1,2,50.0,34,41,82.9,10,17,58.8,0,0,3,0,0,0,0,0,1,0,0,0.0,1.00,0.00,0.00,0,0.0,0.0,0.02,0.0,0.0
602,Kévin Théophile-Catherine,DEF,hr Dinamo Zagreb,4.8,2,0.6,+1.4,4,106,165,64.2,3,6,50.0,73,97,75.3,30,62,48.4,1,0,12,4,1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
603,Jean-Clair Todibo,DEF,es Barcelona,1.0,0,0.0,0.0,0,47,55,85.5,0,0,0,42,45,93.3,5,10,50.0,0,0,3,0,0,0,0,0,1,0,0,0.0,1.00,0.00,0.00,0,0.0,0.0,0.02,0.0,0.0
604,Corentin Tolisso,MID,de Bayern Munich,3.3,4,0.6,+3.4,7,207,237,87.3,3,6,50.0,153,171,89.5,51,60,85.0,2,0,36,5,1,2,0,0,12,5,0,41.7,3.62,1.51,0.17,0.40,1.2,1.2,0.10,+0.8,+0.8
605,Rafael Tolói,DEF,it Atalanta,6.0,0,0.1,-0.1,1,248,308,80.5,2,8,25.0,178,198,89.9,68,102,66.7,0,0,26,0,0,0,0,0,4,1,0,25.0,0.67,0.17,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2
606,Tomané,FWD,rs Red Star,2.3,0,0.1,-0.1,1,21,35,60.0,0,1,0.0,19,29,65.5,2,5,40.0,0,0,0,0,0,0,0,1,2,1,0,50.0,0.86,0.43,0.00,0.00,0.8,0.1,0.03,-0.8,-0.1
607,Raúl de Tomás,FWD,pt Benfica,1.3,0,0.1,-0.1,1,26,28,92.9,0,0,0,20,22,90.9,6,6,100.0,0,0,2,0,0,1,0,0,10,5,1,50.0,7.56,3.78,0.10,0.20,0.4,0.4,0.04,+0.6,+0.6
608,Fikayo Tomori,DEF,eng Chelsea,4.0,1,0.4,+0.6,2,222,256,86.7,1,2,50.0,150,158,94.9,71,96,74.0,0,0,17,2,1,0,0,0,4,0,0,0.0,1.00,0.00,0.00,0,0.4,0.4,0.10,-0.4,-0.4
609,Vasilis Torosidis,DEF,gr Olympiacos,1.0,0,0.0,0.0,1,27,40,67.5,0,1,0.0,20,27,74.1,7,12,58.3,0,0,0,1,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
610,Ferrán Torres,MID,es Valencia,4.3,1,1.6,-0.6,7,113,153,73.9,1,9,11.1,95,116,81.9,17,28,60.7,1,0,10,6,0,1,0,0,7,3,0,42.9,1.62,0.69,0.14,0.33,0.8,0.8,0.11,+0.2,+0.2
611,Lucas Tousart,MID,fr Lyon,5.7,1,0.0,+1.0,1,204,242,84.3,8,16,50.0,149,167,89.2,47,59,79.7,0,0,16,2,0,0,0,0,8,1,0,12.5,1.40,0.18,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3
612,Bertrand Traoré,MID,fr Lyon,2.5,0,0.1,-0.1,4,84,122,68.9,3,6,50.0,62,78,79.5,19,38,50.0,0,8,6,3,0,1,0,0,8,5,0,62.5,3.14,1.97,0.13,0.20,0.2,0.2,0.03,+0.8,+0.8
613,Ibrahim Traoré,MID,cz Slavia Prague,1.9,0,0.0,0.0,0,62,73,84.9,0,1,0.0,48,56,85.7,14,16,87.5,0,0,5,2,0,0,0,0,1,0,0,0.0,0.54,0.00,0.00,0,0.0,0.0,0.03,0.0,0.0
614,Kieran Trippier,DEF,es Atlético Madrid,4.0,1,0.6,+0.4,11,245,322,76.1,4,7,57.1,193,221,87.3,48,94,51.1,0,16,12,7,2,0,0,1,1,0,0,0.0,0.25,0.00,0.00,0,0.8,0.0,0.02,-0.8,0.0
615,Kostas Tsimikas,DEF,gr Olympiacos,6.0,1,1.2,-0.2,11,212,280,75.7,1,9,11.1,150,174,86.2,61,97,62.9,0,3,16,12,11,0,0,0,2,0,0,0.0,0.33,0.00,0.00,0,0.0,0.0,0.02,0.0,0.0
616,Andreas Ulmer,DEF,at RB Salzburg,6.0,0,0.4,-0.4,7,220,329,66.9,4,10,40.0,165,218,75.7,51,101,50.5,2,6,26,14,4,1,0,0,5,1,0,20.0,0.83,0.17,0.20,1.00,0.4,0.4,0.07,+0.6,+0.6
617,Samuel Umtiti,DEF,es Barcelona,2.0,0,0.1,-0.1,1,107,113,94.7,0,0,0,69,70,98.6,38,43,88.4,0,0,4,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
618,Dayot Upamecano,DEF,de RB Leipzig,4.3,0,0.0,0.0,1,310,355,87.3,1,3,33.3,215,234,91.9,94,118,79.7,0,0,49,1,0,0,0,0,3,1,0,33.3,0.69,0.23,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2
619,Jere Uronen,DEF,be Genk,3.0,0,0.1,-0.1,1,113,147,76.9,1,6,16.7,90,106,84.9,22,35,62.9,1,0,11,4,1,0,0,0,3,1,0,33.3,1.00,0.33,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1
620,Mathieu Valbuena,MID,gr Olympiacos,1.2,1,0.3,+0.7,4,62,70,88.6,4,5,80.0,52,57,91.2,6,8,75.0,0,1,4,1,1,1,1,1,1,0,0,0.0,0.87,0.00,0.00,0,0.8,0.0,0.02,+0.2,0.0
621,Borja Valero,MID,it Inter,1.7,0,0.6,-0.6,3,73,79,92.4,3,4,75.0,55,59,93.2,15,16,93.8,0,0,3,3,0,0,0,0,2,1,0,50.0,1.18,0.59,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
622,Albert Vallci,DEF,at RB Salzburg,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
623,Manu Vallejo,FWD,es Valencia,0.8,0,0.0,0.0,1,8,16,50.0,0,4,0.0,8,12,66.7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,1.25,0.00,0.00,0,0.1,0.1,0.08,-0.1,-0.1
624,Federico Valverde,MID,es Real Madrid,2.8,0,0.6,-0.6,4,154,177,87.0,3,12,25.0,133,142,93.7,18,23,78.3,0,0,23,2,0,0,0,0,3,1,0,33.3,1.08,0.36,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1
625,Hans Vanaken,MID,be Club Brugge,6.0,0,0.7,-0.7,7,247,289,85.5,8,13,61.5,180,205,87.8,59,71,83.1,2,0,24,3,0,1,0,0,5,3,2,60.0,0.83,0.50,0.20,0.33,0.4,0.4,0.08,+0.6,+0.6
626,Maarten Vandevoordt,GK,be Genk,1.0,0,0.0,0.0,0,20,29,69.0,0,0,0,8,8,100.0,12,21,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
627,Raphaël Varane,DEF,es Real Madrid,6.0,0,0.0,0.0,0,338,376,89.9,2,3,66.7,208,223,93.3,128,150,85.3,0,0,22,0,0,0,0,0,7,1,0,14.3,1.17,0.17,0.00,0.00,0.7,0.7,0.10,-0.7,-0.7
628,Lucas Vázquez,FWD,es Real Madrid,1.0,0,0.2,-0.2,2,43,55,78.2,1,4,25.0,38,44,86.4,4,7,57.1,0,0,2,2,0,0,0,0,4,0,0,0.0,4.14,0.00,0.00,0,0.1,0.1,0.04,-0.1,-0.1
629,Matías Vecino,MID,it Inter,2.6,0,0.6,-0.6,4,57,92,62.0,2,5,40.0,43,70,61.4,12,17,70.6,1,0,6,4,0,1,0,0,5,2,0,40.0,1.89,0.76,0.20,0.50,0.3,0.3,0.05,+0.7,+0.7
630,Joël Veltman,DEF,nl Ajax,4.7,0,0.0,0.0,0,211,240,87.9,0,0,0,138,155,89.0,73,85,85.9,0,0,10,0,0,0,0,0,1,0,0,0.0,0.21,0.00,0.00,0,0.0,0.0,0.02,0.0,0.0
631,Marco Verratti,MID,fr Paris S-G,6.2,0,1.5,-1.5,9,540,583,92.6,11,20,55.0,456,473,96.4,73,90,81.1,4,0,42,14,1,0,0,0,1,1,0,100.0,0.16,0.16,0.00,0.00,0.0,0.0,0.01,0.0,0.0
632,Jan Vertonghen,DEF,eng Tottenham,2.8,0,0.0,0.0,0,171,191,89.5,0,1,0.0,108,115,93.9,63,75,84.0,0,0,5,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
633,Arturo Vidal,MID,es Barcelona,2.7,1,0.4,+0.6,5,156,173,90.2,5,8,62.5,134,142,94.4,17,23,73.9,0,1,7,2,0,0,0,0,2,0,0,0.0,0.75,0.00,0.00,0,0.2,0.2,0.08,-0.2,-0.2
634,Vitolo,FWD,es Atlético Madrid,1.3,0,0.0,0.0,0,38,46,82.6,1,1,100.0,34,40,85.0,3,5,60.0,0,0,3,2,0,0,0,0,4,2,0,50.0,3.08,1.54,0.00,0.00,0.3,0.3,0.07,-0.3,-0.3
635,Odisseas Vlachodimos,GK,pt Benfica,6.0,0,0.0,0.0,0,148,183,80.9,0,0,0,79,79,100.0,69,104,66.3,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
636,Thibault Vlietinck,DEF,be Club Brugge,0.8,0,0.1,-0.1,1,26,37,70.3,1,2,50.0,22,30,73.3,3,5,60.0,0,0,2,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
637,Kevin Volland,FWD,de Bayer,5.1,0,0.3,-0.3,6,110,148,74.3,6,12,50.0,91,111,82.0,13,25,52.0,1,0,10,6,3,1,0,0,11,2,1,18.2,2.16,0.39,0.09,0.50,1.0,1.0,0.09,0.0,0.0
638,Ruud Vormer,MID,be Club Brugge,2.9,0,1.1,-1.1,9,93,114,81.6,3,4,75.0,71,80,88.8,19,30,63.3,0,12,5,4,0,0,0,0,1,0,0,0.0,0.34,0.00,0.00,0,0.0,0.0,0.02,0.0,0.0
639,Stefan de Vrij,DEF,it Inter,6.0,1,0.3,+0.7,2,312,347,89.9,9,9,100.0,206,217,94.9,97,121,80.2,0,0,9,1,0,0,0,0,1,0,0,0.0,0.17,0.00,0.00,0,0.3,0.3,0.30,-0.3,-0.3
640,Šime Vrsaljko,DEF,es Atlético Madrid,1.0,0,0.0,0.0,0,18,32,56.3,0,2,0.0,10,15,66.7,8,15,53.3,0,0,1,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
641,Aleksa Vukanović,FWD,rs Red Star,1.9,0,0.0,0.0,1,18,28,64.3,0,3,0.0,14,17,82.4,4,8,50.0,0,0,4,0,0,0,0,0,2,0,0,0.0,1.06,0.00,0.00,0,0.2,0.2,0.08,-0.2,-0.2
642,Miloš Vulić,MID,rs Red Star,2.0,0,0.1,-0.1,1,74,87,85.1,0,0,0,45,54,83.3,29,33,87.9,1,0,10,0,0,1,0,0,5,2,0,40.0,2.47,0.99,0.20,0.50,0.2,0.2,0.03,+0.8,+0.8
643,Moussa Wagué,DEF,es Barcelona,1.0,0,0.0,0.0,1,64,76,84.2,1,2,50.0,58,65,89.2,5,9,55.6,0,0,7,1,1,0,0,0,2,0,0,0.0,2.00,0.00,0.00,0,0.1,0.1,0.03,-0.1,-0.1
644,Kyle Walker,DEF,eng Manchester City,1.9,0,0.0,0.0,0,108,125,86.4,0,1,0.0,81,87,93.1,27,37,73.0,0,0,17,2,0,0,0,0,2,1,0,50.0,1.04,0.52,0.00,0.00,0.0,0.0,0.02,0.0,0.0
645,Kyle Walker-Peters,DEF,eng Tottenham,1.0,0,0.0,0.0,1,33,42,78.6,0,3,0.0,30,32,93.8,3,7,42.9,0,0,2,1,1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
646,Victor Wanyama,MID,eng Tottenham,0.1,0,0.0,0.0,0,5,6,83.3,0,0,0,4,4,100.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
647,Daniel Wass,DEF,es Valencia,7.0,0,0.8,-0.8,7,325,411,79.1,13,25,52.0,253,291,86.9,59,95,62.1,0,0,27,6,2,1,0,0,6,2,1,33.3,0.86,0.29,0.17,0.50,0.2,0.2,0.03,+0.8,+0.8
648,Julian Weigl,MID,de Dortmund,3.8,0,0.0,0.0,0,280,296,94.6,0,1,0.0,181,191,94.8,99,104,95.2,1,0,14,1,0,0,0,0,1,1,0,100.0,0.26,0.26,0.00,0.00,0.0,0.0,0.02,0.0,0.0
649,Mitchell Weiser,DEF,de Bayer,3.0,0,0.4,-0.4,2,192,240,80.0,3,17,17.6,169,187,90.4,20,36,55.6,1,0,15,7,0,0,0,0,3,1,0,33.3,1.00,0.33,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1
650,Wendell,DEF,de Bayer,3.9,0,0.1,-0.1,2,290,321,90.3,2,5,40.0,239,256,93.4,49,60,81.7,0,0,22,0,0,0,0,0,4,0,0,0.0,1.03,0.00,0.00,0,0.1,0.1,0.02,-0.1,-0.1
651,Timo Werner,FWD,de RB Leipzig,5.4,1,0.8,+0.2,8,180,227,79.3,7,17,41.2,154,185,83.2,19,25,76.0,1,1,6,8,5,4,2,2,20,6,0,30.0,3.68,1.10,0.10,0.33,4.7,3.2,0.16,-0.7,-1.2
652,Georginio Wijnaldum,MID,eng Liverpool,4.9,0,0.2,-0.2,3,268,295,90.8,6,10,60.0,225,241,93.4,37,44,84.1,1,0,31,1,0,1,0,0,6,1,0,16.7,1.21,0.20,0.17,1.00,0.7,0.7,0.11,+0.3,+0.3
653,Willian,FWD,eng Chelsea,5.6,1,1.8,-0.8,20,187,258,72.5,4,14,28.6,138,169,81.7,45,75,60.0,0,24,17,13,2,1,0,0,10,4,1,40.0,1.80,0.72,0.10,0.25,1.0,1.0,0.10,0.0,0.0
654,Harry Winks,MID,eng Tottenham,3.9,0,0.1,-0.1,3,229,263,87.1,5,10,50.0,174,189,92.1,50,64,78.1,0,2,23,1,0,0,0,0,1,1,0,100.0,0.26,0.26,0.00,0.00,0.0,0.0,0.01,0.0,0.0
655,Axel Witsel,MID,de Dortmund,6.0,0,0.0,0.0,2,470,493,95.3,7,13,53.8,401,415,96.6,62,65,95.4,2,0,34,4,0,0,0,0,5,0,0,0.0,0.83,0.00,0.00,0,0.2,0.2,0.04,-0.2,-0.2
656,Maximilian Wöber,DEF,at RB Salzburg,6.0,0,0.1,-0.1,3,227,279,81.4,1,7,14.3,160,182,87.9,66,90,73.3,1,0,23,3,0,0,0,0,5,0,0,0.0,0.83,0.00,0.00,0,0.2,0.2,0.05,-0.2,-0.2
657,Xeka,MID,fr Lille,1.3,0,0.0,0.0,1,52,60,86.7,1,2,50.0,43,48,89.6,8,10,80.0,0,0,3,0,0,0,0,0,1,0,0,0.0,0.76,0.00,0.00,0,0.0,0.0,0.02,0.0,0.0
658,Erencan Yardimci,MID,tr Galatasaray,0.0,0,0.0,0.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
659,Yusuf Yazıcı,FWD,fr Lille,4.1,0,0.3,-0.3,8,117,172,68.0,4,14,28.6,86,100,86.0,27,58,46.6,1,12,13,4,0,0,0,0,17,5,0,29.4,4.11,1.21,0.00,0.00,1.2,1.2,0.07,-1.2,-1.2
660,Amin Younes,FWD,it Napoli,0.1,0,0.0,0.0,0,3,3,100.0,1,1,100.0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
661,Abdulla Yusuf Helal,FWD,cz Slavia Prague,0.4,0,0.0,0.0,0,7,10,70.0,0,0,0,7,9,77.8,0,1,0.0,0,0,1,0,0,0,0,0,2,1,0,50.0,5.00,2.50,0.00,0.00,0.2,0.2,0.09,-0.2,-0.2
662,Dan-Axel Zagadou,DEF,de Dortmund,2.2,0,0.0,0.0,1,114,128,89.1,1,2,50.0,86,91,94.5,27,35,77.1,0,0,6,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
663,Duván Zapata,FWD,it Atalanta,2.2,0,0.3,-0.3,4,38,53,71.7,2,3,66.7,35,46,76.1,1,4,25.0,0,0,1,4,0,1,0,0,7,3,0,42.9,3.23,1.38,0.14,0.33,1.6,1.6,0.23,-0.6,-0.6
664,Jaroslav Zelený,MID,cz Slavia Prague,1.2,1,0.2,+0.8,2,31,37,83.8,1,2,50.0,26,30,86.7,4,5,80.0,0,0,2,0,0,0,0,0,2,2,0,100.0,1.65,1.65,0.00,0.00,0.4,0.4,0.20,-0.4,-0.4
665,Rifat Zhemaletdinov,MID,ru Loko Moscow,4.0,0,0.8,-0.8,5,79,108,73.1,8,16,50.0,61,76,80.3,10,16,62.5,1,5,6,2,1,0,0,0,5,0,0,0.0,1.25,0.00,0.00,0,0.5,0.5,0.11,-0.5,-0.5
666,Yuri Zhirkov,DEF,ru Zenit,0.8,1,0.1,+0.9,2,18,25,72.0,0,1,0.0,15,18,83.3,3,6,50.0,0,0,0,1,1,0,0,0,2,0,0,0.0,2.47,0.00,0.00,0,0.1,0.1,0.03,-0.1,-0.1
667,Piotr Zieliński,MID,it Napoli,4.0,0,0.3,-0.3,4,144,173,83.2,2,8,25.0,117,134,87.3,25,31,80.6,0,0,15,3,0,0,0,0,3,0,0,0.0,0.75,0.00,0.00,0,0.2,0.2,0.06,-0.2,-0.2
668,Oleksandr Zinchenko,DEF,eng Manchester City,1.3,0,0.0,0.0,1,107,116,92.2,1,2,50.0,93,98,94.9,13,16,81.3,0,0,12,1,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
669,Joshua Zirkzee,FWD,de Bayern Munich,0.0,0,0.0,0.0,0,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
670,Hakim Ziyech,FWD,nl Ajax,5.5,4,2.1,+1.9,15,244,341,71.6,8,22,36.4,193,224,86.2,43,95,45.3,3,21,24,22,3,2,0,0,19,4,1,21.1,3.43,0.72,0.11,0.50,1.0,1.0,0.05,+1.0,+1.0
671,Kurt Zouma,DEF,eng Chelsea,5.8,1,0.7,+0.3,3,328,355,92.4,1,2,50.0,167,173,96.5,160,180,88.9,0,0,20,0,0,0,0,0,3,0,0,0.0,0.52,0.00,0.00,0,0.2,0.2,0.07,-0.2,-0.2
