Rk,Player,Position,Squad,90s,Assists,xA,Assists-xA,KeyPasses,Total Completed Passes,Total Attempted Passes,Total Pass Completion %,Short Completed Passes,Short Attempted Passes,Short Pass Completion %,Medium Completed Passes,Medium Attempted Passes,Medium Pass Completion %,Long Completed Passes,Long Attempted Passes,Long Pass Completion %,Through Ball Passes,Corner Kicks,Passes into final third,Passes Into Penalty Box,Crosses into Penalty Box,Goals,PK,PK Attempts,Shots Total,Shots on Target,FK Shots,Shots on Target %,Shots per 90,SOT per 90,Goals per Shot,Goals per SOT,xG,npxG,npxG per Shot,Goals minus xG,np Goals minus xG 
534,Renato Sanches,MID,fr Lille,1.3,0,0.1,-0.1,1,54,76,71.1,1,3,33.3,46,58,79.3,7,15,46.7,0,6,7,1,0,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
535,Alexis Sánchez,FWD,it Inter,0.7,1,0.4,+0.6,2,21,23,91.3,0,0,0,19,20,95.0,2,3,66.7,2,0,1,0,0,0,0,0,1,0,0,0.0,1.36,0.00,0.00,0,0.3,0.3,0.26,-0.3,-0.3
536,Davinson Sánchez,DEF,eng Tottenham,5.0,0,0.1,-0.1,1,333,374,89.0,2,3,66.7,220,238,92.4,111,133,83.5,0,0,23,2,1,0,0,0,1,0,0,0.0,0.20,0.00,0.00,0,0.3,0.3,0.26,-0.3,-0.3
537,Jadon Sancho,FWD,de Dortmund,6.2,2,1.3,+0.7,13,289,348,83.0,8,12,66.7,253,294,86.1,28,42,66.7,3,4,11,14,0,2,0,0,15,8,0,53.3,2.42,1.29,0.13,0.25,2.1,2.1,0.14,-0.1,-0.1
538,Alex Sandro,DEF,it Juventus,4.0,2,0.7,+1.3,7,312,355,87.9,2,4,50.0,261,281,92.9,49,70,70.0,1,0,26,10,4,0,0,0,3,1,0,33.3,0.75,0.25,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2
539,Douglas Santos,DEF,ru Zenit,5.6,1,0.2,+0.8,4,200,274,73.0,3,11,27.3,154,176,87.5,43,87,49.4,0,11,12,4,3,0,0,0,3,3,0,100.0,0.53,0.53,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
540,Pablo Sarabia,FWD,fr Paris S-G,3.1,1,1.7,-0.7,6,99,122,81.1,1,8,12.5,88,98,89.8,10,16,62.5,0,0,7,5,1,2,0,0,9,6,0,66.7,2.90,1.94,0.22,0.33,0.7,0.7,0.07,+1.3,+1.3
541,Marcelo Saracchi,DEF,de RB Leipzig,1.8,0,0.3,-0.3,1,76,99,76.8,1,7,14.3,66,77,85.7,9,15,60.0,0,0,6,1,1,0,0,0,0,0,0,0,0.00,0.00,0,0,0.0,0.0,0,0.0,0.0
542,Stefan Savić,DEF,es Atlético Madrid,2.0,0,0.0,0.0,0,40,46,87.0,0,0,0,23,26,88.5,17,20,85.0,0,0,5,0,0,1,0,0,2,1,0,50.0,1.00,0.50,0.50,1.00,0.6,0.6,0.32,+0.4,+0.4
543,Patrik Schick,FWD,de RB Leipzig,1.1,0,0.0,0.0,1,17,24,70.8,3,4,75.0,11,17,64.7,3,3,100.0,0,0,1,2,0,0,0,0,7,2,0,28.6,6.49,1.86,0.00,0.00,1.1,1.1,0.15,-1.1,-1.1
